id,url,tweet,author,created_at,source_file,hasztag/canidate,tweet_clean,tweet_no_stop,tweet_base_no_stop
1924865650448597323,https://x.com/DanielMomot_/status/1924865650448597323,"‼️ SONDA PREZYDENCKA ‼️  Czy Koalicja Obywatelska @ko_klub zasłużyła na PEŁNĄ  władzę w Polsce ?  Maja Sejm , Senat , Rząd,  Sądy...  Tak lub Nie  #Nawrocki2025 #Mentzen2025 #Braun2025 #Zandberg2025 #biejat2025 #Hołownia2025 #Jakubiak2025 https://t.co/2BQ9Pr8QsS",DanielMomot_,Tue May 20 16:31:47 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,"  sonda prezydencka   czy koalicja obywatelska zasłużyła na pełną władzę w polsce ? maja sejm , senat , rząd, sądy. tak lub nie nawrocki2025 mentzen2025 braun2025 zandberg2025 biejat2025 hołownia2025 jakubiak2025 ","sonda prezydencka koalicja obywatelska zasłużyła pełną władzę polsce ? maja sejm , senat , rząd, sądy. nawrocki2025 mentzen2025 braun2025 zandberg2025 biejat2025 hołownia2025 jakubiak2025","sonda prezydencki koalicja obywatelski zasłużyć pełny władza Polska? maj sejm, senat, rząd, sąd. nawrocki2025 mentzen2025 braun2025 zandberg2025 biejat2025 hołownia2025 jakubiak2025"
1924840067169767597,https://x.com/helenawagnerbau/status/1924840067169767597,I co cały czas nie wychodzicie z domu głosować bo każdy wybór jest zły? Nie pozwólmy proszę wygrać większemu złu. #Biejat2025,helenawagnerbau,Tue May 20 14:50:08 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,i co cały czas nie wychodzicie z domu głosować bo każdy wybór jest zły? nie pozwólmy proszę wygrać większemu złu. biejat2025,czas wychodzicie domu głosować wybór zły? pozwólmy proszę wygrać większemu złu. biejat2025,czas wychodzicie dom głosować wybór zły? pozwólmy prosić wygrać większemu zło. biejat2025
1924824816311275988,https://x.com/michu_miszcz/status/1924824816311275988,"#Wybory2025 #zandberg2025 #Biejat2025   Lewacy, polecam poczytac komentarze pod postami tvn24 na temat zachowania neutralności Zandberga w 2 turze, jesteście szykanowani i wyzywani przez starych, zmanipulowanych ludzi, którzy nienawidzą każdego kto noe jest z nimi.",michu_miszcz,Tue May 20 13:49:32 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025," wybory2025 zandberg2025 biejat2025 lewacy, polecam poczytac komentarze pod postami tvn24 na temat zachowania neutralności zandberga w 2 turze, jesteście szykanowani i wyzywani przez starych, zmanipulowanych ludzi, którzy nienawidzą każdego kto noe jest z nimi.","wybory2025 zandberg2025 biejat2025 lewacy, polecam poczytac komentarze postami tvn24 temat zachowania neutralności zandberga 2 turze, jesteście szykanowani wyzywani starych, zmanipulowanych ludzi, nienawidzą każdego noe nimi.","wybory2025 zandberg2025 biejat2025 lewak, polecać poczytac komentarz post tvn24 temat zachować neutralność zandberga 2 tura, jesteście szykanować wyzywać stary, zmanipulować człowiek, nienawidzić każdy noe on."
1924814461409407072,https://x.com/Iga_JB/status/1924814461409407072,"@A_Traczyk Serio?  Aborcja w poniedziałek , srode i piątek bo #Biejat2025   Resztę dni z zakazem aborcji bo #konfederacja   🤣🤣🤣🤣",Iga_JB,Tue May 20 13:08:23 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025," serio? aborcja w poniedziałek , srode i piątek bo biejat2025 resztę dni z zakazem aborcji bo konfederacja  ","serio? aborcja poniedziałek , srode piątek biejat2025 resztę dni zakazem aborcji konfederacja","serio? aborcja poniedziałek, srode piątek biejat2025 reszta dzień zakaz aborcja konfederacja"
1924802765324251136,https://x.com/INFORPL/status/1924802765324251136,Biejat i Hołownia popierają Trzaskowskiego [Druga tura] #WyboryPrezydenckie2025 #DrugaTura #Trzaskowski2025 #Biejat2025 #Hołownia2025 https://t.co/Z51TcfDRZi,INFORPL,Tue May 20 12:21:55 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,biejat i hołownia popierają trzaskowskiego [druga tura] wyboryprezydenckie2025 drugatura trzaskowski2025 biejat2025 hołownia2025 ,biejat hołownia popierają trzaskowskiego [druga tura] wyboryprezydenckie2025 drugatura trzaskowski2025 biejat2025 hołownia2025,biejat hołownie popierać trzaskowskiego [ drugi tura ] wyboryprezydenckie2025 drugatura trzaskowski2025 biejat2025 hołownia2025
1924726976624885908,https://x.com/Cavoosha/status/1924726976624885908,Dlaczego tak jest⁉️ #Trzaskowski2O25  #Mentzen2025  #biejat2025  #Nawrocki2025 #Hołownia2025  #Zandberg2025  #Braun2025 #Jakubiak2025 #Stanowski2025 #Senyszyn2025 https://t.co/intSRBzUgE,Cavoosha,Tue May 20 07:20:45 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,dlaczego tak jest  trzaskowski2o25 mentzen2025 biejat2025 nawrocki2025 hołownia2025 zandberg2025 braun2025 jakubiak2025 stanowski2025 senyszyn2025 ,trzaskowski2o25 mentzen2025 biejat2025 nawrocki2025 hołownia2025 zandberg2025 braun2025 jakubiak2025 stanowski2025 senyszyn2025,trzaskowski2o25 mentzen2025 biejat2025 nawrocki2025 hołownia2025 zandberg2025 braun2025 jakubiak2025 stanowski2025 senyszyn2025
1924717274939715650,https://x.com/wellback_/status/1924717274939715650,"Tak na szybko sobie sprawdziłem #sondaż z ostatniego tygodnia #Wybory2025 do wyników oficjalnych, wnioski wyciągnijcie sami #Mentzen2025 #Braun2025 #Trzaskowski2025 #Nawrocki2025 #Zandberg2025 #biejat2025 #Hołownia2025 https://t.co/0uYnZ2hQeE",wellback_,Tue May 20 06:42:12 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,"tak na szybko sobie sprawdziłem sondaż z ostatniego tygodnia wybory2025 do wyników oficjalnych, wnioski wyciągnijcie sami mentzen2025 braun2025 trzaskowski2025 nawrocki2025 zandberg2025 biejat2025 hołownia2025 ","szybko sprawdziłem sondaż ostatniego tygodnia wybory2025 wyników oficjalnych, wnioski wyciągnijcie sami mentzen2025 braun2025 trzaskowski2025 nawrocki2025 zandberg2025 biejat2025 hołownia2025","szybko sprawdzić być sondaż ostatni tydzień wybory2025 wynik oficjalny, wniosek wyciągnijcie sam mentzen2025 braun2025 trzaskowski2025 nawrocki2025 zandberg2025 biejat2025 hołownia2025"
1924714771359633664,https://x.com/obywatelmm/status/1924714771359633664,"Dzień 2. po I turze: #Nawrocki2025: - ataki na #Trzaskowski2025  - umizgi do wyborców #Mentzen2025 i #Braun2025   #Trzaskowski2025: - ataki na wyborców z PL wsch. - ataki na wyborców #Hołownia2025, #biejat2025 i #Zandberg2025  To się może skończyć tylko na 1 sposób",obywatelmm,Tue May 20 06:32:15 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,"dzień 2. po i turze: nawrocki2025: - ataki na trzaskowski2025 - umizgi do wyborców mentzen2025 i braun2025 trzaskowski2025: - ataki na wyborców z pl wsch. - ataki na wyborców hołownia2025, biejat2025 i zandberg2025 to się może skończyć tylko na 1 sposób","dzień 2. turze: nawrocki2025: - ataki trzaskowski2025 - umizgi wyborców mentzen2025 braun2025 trzaskowski2025: - ataki wyborców pl wsch. - ataki wyborców hołownia2025, biejat2025 zandberg2025 skończyć 1","dzień 2. tura: nawrocki2025: - atak trzaskowski2025 - umizgi wyborca mentzen2025 braun2025 trzaskowski2025: - atak wyborca pl wsch. - atak wyborca hołownia2025, biejat2025 zandberg2025 skończyć 1"
1924711813691932907,https://x.com/XauusdAnaa/status/1924711813691932907,"Dow Futures Rebound Join now for trading signals :- https://t.co/K1uh507MSG Dow E-mini rose 0.35% to 42,885, led by UnitedHealth (+8.21%). Reclaimed 50-day MA at 41,159; nearing resistance at 43,148. #DowJones #Indices #Roumains #Werenoi #biejat2025 #Razem #waermepumpe #brad https://t.co/4licxGzx77",XauusdAnaa,Tue May 20 06:20:30 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,"dow futures rebound join now for trading signals :- dow e-mini rose 0.35% to 42,85, led by unitedhealth (+8.21%). reclaimed 50-day ma at 41,159; nearing resistance at 43,148. dowjones indices roumains werenoi biejat2025 razem waermepumpe brad ","dow futures rebound join now for trading signals :- dow e-mini rose 0.35% 42,85, led unitedhealth (+8.21%). reclaimed 50-day at 41,159; nearing resistance at 43,148. dowjones indices roumains werenoi biejat2025 razem waermepumpe brad","dow futures rebound join now for trading signals: - dow e - mini rose 0. 35 % 42,85, led unitedhealthć ( +8. 21 % ). reclaimed 50 - day at 41,159; nearing resistance at 43,148. dowjones indices roumains werenoi biejat2025 raz waermepumpeć brad"
1924445688957489385,https://x.com/k_konopacki/status/1924445688957489385,"W którą stronę powinien spojrzeć #Trzaskowski2025 żeby zdobyć głosy? Z jednej strony po postulaty #Biejat2025 czy #Zandberg2025, ale też ""na prawo"". Lewicowa część raczej na niego zagłosuje, natomiast ważne jest przekonanie części wyborców #Mentzen2025 czy #Braun2025.",k_konopacki,Mon May 19 12:43:01 +0000 2025,tweets__Biejat2025_20250520_192948.csv,tweets__Biejat2025,"w którą stronę powinien spojrzeć trzaskowski2025 żeby zdobyć głosy? z jednej strony po postulaty biejat2025 czy zandberg2025, ale też ""na prawo"". lewicowa część raczej na niego zagłosuje, natomiast ważne jest przekonanie części wyborców mentzen2025 czy braun2025.","którą stronę spojrzeć trzaskowski2025 zdobyć głosy? jednej strony postulaty biejat2025 zandberg2025, ""na prawo"". lewicowa część raczej zagłosuje, ważne przekonanie części wyborców mentzen2025 braun2025.","który strona spojrzeć trzaskowski2025 zdobyć głos? jeden strona postulat biejat2025 zandberg2025, "" na prawo "". lewicowy część raczej zagłosować, ważny przekonanie część wyborca mentzen2025 braun2025."
