id,url,content,author,created_at
1919133406559862822,https://x.com/MikulskiMa43709/status/1919133406559862822,@ZandbergRAZEM chlopie nie dosc ze skopiowales od mentzena ulotki to jeszcze takie same sztandary jak on masz,MikulskiMa43709,Sun May 04 20:53:54 +0000 2025
1919119684839882797,https://x.com/AKaraskiewicz/status/1919119684839882797,"@ZandbergRAZEM Skąd pieniądze komunizujący socjalisto? Z czterodniowego tyg pracy, czy darmowych mieszkań?",AKaraskiewicz,Sun May 04 19:59:23 +0000 2025
1919111134520442899,https://x.com/Krystianro/status/1919111134520442899,@NGoldschneider @Adam32330707 @ZandbergRAZEM Nie wiedziałem tego.,Krystianro,Sun May 04 19:25:24 +0000 2025
1919102567839125857,https://x.com/pawe_semmler/status/1919102567839125857,@ZandbergRAZEM Jesteś żałosny..🤦,pawe_semmler,Sun May 04 18:51:22 +0000 2025
1919071945691103433,https://x.com/Dorota_2017/status/1919071945691103433,"@ZandbergRAZEM Nieśmiało przypomnę panu, że poparcie pana i pana partii Razem z PIS,  jest w granicach błędu statystycznego.",Dorota_2017,Sun May 04 16:49:41 +0000 2025
1919071399370453062,https://x.com/MalickaKasia/status/1919071399370453062,@ZandbergRAZEM Rozbijasz pan lewicę,MalickaKasia,Sun May 04 16:47:30 +0000 2025
1919071305086668831,https://x.com/Dorota_2017/status/1919071305086668831,"@ZandbergRAZEM Zapomniałeś dodać : a dla was pracownicy i przedsiębiorcy "" praca za miskę ryżu"", bo będziecie musieli płacić jeszcze większe podatki, a my politycy jeśli nie  rozkradniemy waszych pieniędzy, to i  tak nie liczcie, że cokolwiek zmienimy, naprawimy. To tylko kolejna kampania.",Dorota_2017,Sun May 04 16:47:08 +0000 2025
1919066022214033919,https://x.com/NGoldschneider/status/1919066022214033919,"@Adam32330707 @ZandbergRAZEM Urodził się w Danii, do Polski przyjechał w 1986 roku. To pamięta tylko końcówkę PRL ciężko to nazwać komunizmem. Może dlatego mu się podoba komunizm bo go nie zna.",NGoldschneider,Sun May 04 16:26:08 +0000 2025
1919056314774253804,https://x.com/TytusWojnowicz/status/1919056314774253804,@ZandbergRAZEM Kto za to zapłaci?,TytusWojnowicz,Sun May 04 15:47:34 +0000 2025
1919055632390308288,https://x.com/Druid631/status/1919055632390308288,"@ZandbergRAZEM Jasne. I jeszcze rozpasany socjal - a wszystko to za cudze pieniądze, bo przecież wy żyjecie socjalistycznymi ideałami a nie pracą ....",Druid631,Sun May 04 15:44:51 +0000 2025
1919054324123980148,https://x.com/MissGugelhupf/status/1919054324123980148,"@ZandbergRAZEM ""Miś"" już dawno nakręcony i kultowy. Podróbek nikt nie potrzebuje.",MissGugelhupf,Sun May 04 15:39:39 +0000 2025
1919053807918436618,https://x.com/EwaCiesielska0/status/1919053807918436618,"@ZandbergRAZEM Piękne hasła!Gdyby tylko tyle...Ale jak Pan wcześniej porozdaje,to z czego urośnie ta potęga ?Trzeba inwestować w ten atom,krzem,stal...zanim będą owoce,nie na odwrót!Jak Pan opodatkuje tych, co mają,to nie zainwestują.. Padną.",EwaCiesielska0,Sun May 04 15:37:36 +0000 2025
1919050144881705469,https://x.com/PeterWhitmoor/status/1919050144881705469,"@ZandbergRAZEM Jeśli nie widzisz różnicy pomiędzy PO i Mentzenem, to my również nie widzimy różnicy pomiędzy Zandbergiem a Dzierżyńskim 🤣 #Trzaskowski2025 https://t.co/B69TvlWve8",PeterWhitmoor,Sun May 04 15:23:03 +0000 2025
1919047003318689909,https://x.com/sendec1/status/1919047003318689909,@NGoldschneider @ZandbergRAZEM ✌️👏,sendec1,Sun May 04 15:10:34 +0000 2025
1919046806308069647,https://x.com/dabug89/status/1919046806308069647,"@ZandbergRAZEM Jakby Pan miał w programie Polska z wodoru ,atomu ,stali i krzemu to bym się zastanowił. Jęsli mamy bawić się w energetykę to całkowicie się uniezależnijmy od dostaw zewnętrznych (atom) a róbmy wszystko byśmy mogli sami to produkować (wodór). Wodór 75/20 atom/ 5 inne źródła .",dabug89,Sun May 04 15:09:47 +0000 2025
1919044993928368466,https://x.com/Adam32330707/status/1919044993928368466,"@NGoldschneider @ZandbergRAZEM Natanie, już to chyba pisałem, mógłbyś pracować dla rządu, piszesz dobrym, zgrabnym językiem polskim, co do Zandberga, to populista-rewolucjonista, myśmy już taką radosną twórczość socjalistyczną w PRLu przerabiali-Zandberg na tych lekcjach z historii w szkole, chyba wagarował",Adam32330707,Sun May 04 15:02:35 +0000 2025
1919044968502432201,https://x.com/Christo16042471/status/1919044968502432201,@ZandbergRAZEM Adrian to od czego zaczniesz jako prezydent RP? Wystrugasz atom i posypiesz krzemem a potem wydasz ukaz że kolejka do lekarza może mieć tylko 3 osoby? Masz ludzi za idiotów i dlatego będziesz w granicach błędu statystycznego,Christo16042471,Sun May 04 15:02:29 +0000 2025
1919044442696151263,https://x.com/trkterek/status/1919044442696151263,"@NGoldschneider @ZandbergRAZEM Odpowie Ci, że opodatkuje cyfrowe giganty i prezesów firm. Od 10 lat tak mówi. A że to utopia, to już nie mówi.",trkterek,Sun May 04 15:00:23 +0000 2025
1919044193457938813,https://x.com/prowokator_pink/status/1919044193457938813,"@ZandbergRAZEM Puste populistyczne hasełka. Przedstaw program oparty na ekonomii.  A nie baw się w Morusa, Owena, Fouriera czy Świetosławskiego. To śmieszne i żałosne. Takie gadki możesz uprawiać do lustra.",prowokator_pink,Sun May 04 14:59:24 +0000 2025
1919037007717638262,https://x.com/tomeksiwiec1/status/1919037007717638262,@NGoldschneider @ZandbergRAZEM Może chce nam druga Kubę zrobić?,tomeksiwiec1,Sun May 04 14:30:51 +0000 2025
1919036893494190438,https://x.com/jola_kk/status/1919036893494190438,"@ZandbergRAZEM Czyli Adrianku, dla ciebie PiS to to samo co PO ? To ja życzę kup sobie okulary, to zobaczysz różnicę .",jola_kk,Sun May 04 14:30:24 +0000 2025
1919036763726545211,https://x.com/Pavel79401617/status/1919036763726545211,@NGoldschneider @ZandbergRAZEM Teoria podkowy w pełnej krasie 🤷 Skrajna lewica i skrajna prawica są do siebie w gruncie rzeczy bardzo podobne ...,Pavel79401617,Sun May 04 14:29:53 +0000 2025
1919035536200622335,https://x.com/Nyxenn__/status/1919035536200622335,@gigaligamiga @Mitron68077 @ZandbergRAZEM Kreatywny bot zamieni tylko imiona XDDDDD,Nyxenn__,Sun May 04 14:25:00 +0000 2025
1919034763240718584,https://x.com/Cyprian65659623/status/1919034763240718584,"@ZandbergRAZEM mówisz/piszesz tak a nie ma szans aby to sprawdzić. gdybyś chciał coś zmienić to wszedłbyś do rządu i realnie miał wpływ na zmiany. a już szczytem perfidii i podłości jest zestawianie PO z pisią bandą i mącenie, że ktoś na granicy błędu statystycznego coś zmieni. kanapowa lewica.",Cyprian65659623,Sun May 04 14:21:56 +0000 2025
1919034326349381696,https://x.com/AwskiBrotiar/status/1919034326349381696,"@ZandbergRAZEM Trzeba było wejść do rządu i działać w tym kierunku (pomijam populizm tej wypowiedzi) a nie być cichym sojusznikiem PiS. Zmiotłeś swoim działaniem lewicę na niskie poparcie. Łatwiej żyć w polityce nie biorąc za nic odpowiedzialności, tylko krytykować.",AwskiBrotiar,Sun May 04 14:20:11 +0000 2025
1919034268501541166,https://x.com/SekaczB/status/1919034268501541166,@NGoldschneider @ZandbergRAZEM spokojnie mentzen nam sie zlibalizuje i bedzie z niego normalna europejska prawica,SekaczB,Sun May 04 14:19:58 +0000 2025
1919031525846270078,https://x.com/Maria037015907/status/1919031525846270078,"@NGoldschneider @ZandbergRAZEM Takimi obietnicami populiści uzyskali Brexit. Ci naiwni nadal umierają, bo ich nie stać na porządne leczenie, którego cena znacznie wzrosła",Maria037015907,Sun May 04 14:09:04 +0000 2025
1919030958121980358,https://x.com/MarikaKubinka/status/1919030958121980358,@NGoldschneider @ZandbergRAZEM 🤝,MarikaKubinka,Sun May 04 14:06:48 +0000 2025
1919029236603515059,https://x.com/TygrysBengalsk3/status/1919029236603515059,@NGoldschneider @ZandbergRAZEM 🎯,TygrysBengalsk3,Sun May 04 13:59:58 +0000 2025
