id,url,content,author,created_at
1915487352346042634,https://x.com/JanPoleJan/status/1915487352346042634,"@Chris_SenkoxG @artbaroficjalny Pytałeś o ubiór na zajęciach. Otrzymałeś odpowiedź ze zbiorem zamkniętym, nie podlegającym dalszym interpretacją. Dokładanie do tego analogii z czasów amerykańskiej prohibicji, niewolnictwa i wyzysku była zbędna.",JanPoleJan,Thu Apr 24 19:25:47 +0000 2025
1915405474557575561,https://x.com/dtk03176318/status/1915405474557575561,@artbaroficjalny Bardzo chętnie.,dtk03176318,Thu Apr 24 14:00:26 +0000 2025
1914948616679997776,https://x.com/Chris_SenkoxG/status/1914948616679997776,"@JanPoleJan @artbaroficjalny Fajnie wiedzieć, ale nie o to pytałem. Pytałem czy skoro na jego zajęcia mogę wejść tylko w garniturze, bo jeansy to ubiór biedoty z czasów gorączki złota, to czy na spotkaniu jeansy też są zabronione",Chris_SenkoxG,Wed Apr 23 07:45:02 +0000 2025
1914939059513823551,https://x.com/BuyHigh19341196/status/1914939059513823551,@szwiec_w @PolskiPolak4_0 @artbaroficjalny Zbieranie podpisów przez firmy jest legalne.,BuyHigh19341196,Wed Apr 23 07:07:04 +0000 2025
1914930880444862824,https://x.com/zuzanna726183/status/1914930880444862824,"@artbaroficjalny no ciekawe, ciekawe tylko proszę o wstawienie videorelacji z tego spotkania:)) chętnie obejrzę w necie bo bardzo daleko mam:)",zuzanna726183,Wed Apr 23 06:34:34 +0000 2025
1914925617335746866,https://x.com/irenicus_pl/status/1914925617335746866,@artbaroficjalny Będzie całe 10 osób.,irenicus_pl,Wed Apr 23 06:13:39 +0000 2025
1914906111762973116,https://x.com/SklejonySloik14/status/1914906111762973116,@Mateusz09543096 @artbaroficjalny Ale to niedobra tak pisać. https://t.co/llkQVJuCtK,SklejonySloik14,Wed Apr 23 04:56:08 +0000 2025
1914894844637368671,https://x.com/bikemy13/status/1914894844637368671,"@artbaroficjalny I drugie pytanie. Czy będzie listonosz, który dostarczał Panu podpisy? Wszyscy chcemy go poznać.",bikemy13,Wed Apr 23 04:11:22 +0000 2025
1914894390549532895,https://x.com/bikemy13/status/1914894390549532895,"@artbaroficjalny Czy trzeba mieć aktualny paszport covidowy żeby tam wejść jak Pana studenci którzy z powodu pańskiej histerii nie mogli się normalnie uczyć korzystając ze swoich podstawowych konstytucyjnych praw? Czy wystarczy maska,bo bierze Pan już leki na swoją paranoję?",bikemy13,Wed Apr 23 04:09:34 +0000 2025
1914889435348394026,https://x.com/Mateusz09543096/status/1914889435348394026,@SklejonySloik14 @artbaroficjalny Izrael,Mateusz09543096,Wed Apr 23 03:49:52 +0000 2025
1914871213119119750,https://x.com/R_Stachurski/status/1914871213119119750,@artbaroficjalny Czy będzie Pan opowiadał o zakupie lotniskowców dla 🇵🇱? Jaki sens jest się kompromitować?,R_Stachurski,Wed Apr 23 02:37:28 +0000 2025
1914851152702693585,https://x.com/cwany_adam/status/1914851152702693585,@artbaroficjalny A kim pan jest??,cwany_adam,Wed Apr 23 01:17:45 +0000 2025
1914812868878348795,https://x.com/ZdrowyRozsdek/status/1914812868878348795,@artbaroficjalny ZWYCIĘŻYMY!,ZdrowyRozsdek,Tue Apr 22 22:45:38 +0000 2025
1914794563903893688,https://x.com/wyteron/status/1914794563903893688,@Fiflok4 @artbaroficjalny no masz rację akurat.,wyteron,Tue Apr 22 21:32:53 +0000 2025
1914791297627586838,https://x.com/Fiflok4/status/1914791297627586838,@wyteron @artbaroficjalny zmien avatar to bedziesz mial wieksze szanse,Fiflok4,Tue Apr 22 21:19:55 +0000 2025
1914790833955766507,https://x.com/JanPoleJan/status/1914790833955766507,@Chris_SenkoxG @artbaroficjalny Dresiarstwa i patologii stadionowej się nie akceptuje;),JanPoleJan,Tue Apr 22 21:18:04 +0000 2025
1914790299550785538,https://x.com/JanPoleJan/status/1914790299550785538,@szwiec_w @PolskiPolak4_0 @artbaroficjalny Bycie idiotą nie jest karalne w Polsce. Mamy wolność słowa i każdy może robić z siebie pajaca. Powinniśmy zaakceptować ten margines społeczny i tyle.,JanPoleJan,Tue Apr 22 21:15:57 +0000 2025
1914787825947697637,https://x.com/Chris_SenkoxG/status/1914787825947697637,@artbaroficjalny A wpuszcza Pan w jeansach czy tak jak na zajęcia tylko w garniturze?,Chris_SenkoxG,Tue Apr 22 21:06:07 +0000 2025
1914785442765144457,https://x.com/potworzy/status/1914785442765144457,@kaczafi @artbaroficjalny ratio,potworzy,Tue Apr 22 20:56:39 +0000 2025
1914781622831825010,https://x.com/AliXander108/status/1914781622831825010,"@artbaroficjalny A pokażesz pejsy, gnojek żydowski?",AliXander108,Tue Apr 22 20:41:28 +0000 2025
1914780061364052303,https://x.com/radekolsz/status/1914780061364052303,@artbaroficjalny A kim Pan jest?,radekolsz,Tue Apr 22 20:35:16 +0000 2025
1914779890315923646,https://x.com/stach856/status/1914779890315923646,"@artbaroficjalny Food Hall to jest pomysł :D iść tam gdzie jest pełno ludzi, zrobić fotkę ile to ludzi na spotkanie nie przyszło",stach856,Tue Apr 22 20:34:35 +0000 2025
1914776598374703417,https://x.com/KIRIMASU_MMA/status/1914776598374703417,@szwiec_w @artbaroficjalny Żadne wektywy tylko jak ktoś chce żydom dawać paszporty to won mi z kraju,KIRIMASU_MMA,Tue Apr 22 20:21:30 +0000 2025
1914774213044441488,https://x.com/szwiec_w/status/1914774213044441488,"@KIRIMASU_MMA @artbaroficjalny no to wejdź Pan na https://t.co/RpFJwRn1Nf i zobacz Pan dogodniejszą lokalizację, byle odwagi nie brakło. A inwektywy odłożyć na bok, one jakoś słabo świadczą o człowieku, na prawdę. Pracuję z ludźmi i wiem o czym mówię.",szwiec_w,Tue Apr 22 20:12:01 +0000 2025
1914773017302859819,https://x.com/MateuszP82/status/1914773017302859819,@artbaroficjalny Wrzuć jakieś foto tych tłumów,MateuszP82,Tue Apr 22 20:07:16 +0000 2025
1914772401969078486,https://x.com/KIRIMASU_MMA/status/1914772401969078486,@szwiec_w @artbaroficjalny Za daleko ale jak ta QRWA przyjedzie do Białej Podlaskiej pogadamy ręcznie. Zapraszam cwela.,KIRIMASU_MMA,Tue Apr 22 20:04:50 +0000 2025
1914772086498721991,https://x.com/szwiec_w/status/1914772086498721991,"@venix93 @artbaroficjalny I co z tego? Czyli taki ani zimny ani gorący. Trzeba było, albo wszystkie, albo wcale. Gdzieś nawet w PŚ jest zapisane, że trzeba się strzec bycia letnim",szwiec_w,Tue Apr 22 20:03:34 +0000 2025
1914771374645670330,https://x.com/szwiec_w/status/1914771374645670330,@mar3k_aureliusz @artbaroficjalny Logiczne myślenie. Warto posłuchać jeszcze raz wypowiedzi.,szwiec_w,Tue Apr 22 20:00:45 +0000 2025
1914769071348072737,https://x.com/szwiec_w/status/1914769071348072737,"@PolskiPolak4_0 @artbaroficjalny Jeśli ma Pani dowody, należy oficjalnie zgłosić do prokuratury. W przeciwnym razie popełnia Pani przestępstwo.",szwiec_w,Tue Apr 22 19:51:35 +0000 2025
