id,url,content,author,created_at
1918706069133480276,https://x.com/n00652609/status/1918706069133480276,"@Megg654203 @artbaroficjalny Ludzie mu do domu przysyłali, z dopiskiem ""Zwyciężymy!"" :)",n00652609,Sat May 03 16:35:49 +0000 2025
1918202105740804228,https://x.com/Quintus_Turbo/status/1918202105740804228,"@artbaroficjalny Zna pan takie powiedzenie ""niszczyć gospodarkę z prędkością absolwenta SGH""? Jest pan taki wolnościowy że wyrzucał z zajęć studentów którzy nie wzięli pfizera? Che pan rozdawać polskie paszporty żydom niczym ulotki? Obrzydliwy typ, do tego z SGH.",Quintus_Turbo,Fri May 02 07:13:15 +0000 2025
1917872015958048995,https://x.com/abet_alf/status/1917872015958048995,"@artbaroficjalny Życzę dużej frekwencji, tak żeby ze 20-30 osób nawet było 😁  Nie szkoda Panu czasu cennego na to wszystko żeby dostać 0,2% głosów?",abet_alf,Thu May 01 09:21:35 +0000 2025
1917858413372907645,https://x.com/bezoryt/status/1917858413372907645,"@artbaroficjalny „Kiedy głupota jest uważana za patriotyzm, niebezpiecznie jest być inteligentnym”.  -Isaac Asimov",bezoryt,Thu May 01 08:27:32 +0000 2025
1917820823248814525,https://x.com/MariaSobos14304/status/1917820823248814525,"@yumiluluanja @artbaroficjalny Z tego arturka, to zwykły pętak, a nie dr.",MariaSobos14304,Thu May 01 05:58:10 +0000 2025
1917754468407599237,https://x.com/KoDciemniakow/status/1917754468407599237,"@artbaroficjalny Prostaku i chamie o manierach bufona.  Karolowi Nawrockiemu to możesz parasol nosić . Skoro jesteś pizdeuszem, ktory w życiu nie stoczył walki, czy w ringu, na podwórku ,w wojsku to nie znaczy ,ze masz prawo wyzywać prawdziwych mężczyzn od meneli. Panie dr.Ciota Cwel .",KoDciemniakow,Thu May 01 01:34:30 +0000 2025
1917691432573210858,https://x.com/urwany/status/1917691432573210858,@artbaroficjalny Zapamietam pana z wojskowego ultra debilizmu - lotniskowiec dla Polski 🤦😅😂,urwany,Wed Apr 30 21:24:01 +0000 2025
1917684785947853064,https://x.com/SzymaAnna/status/1917684785947853064,"@artbaroficjalny Cham, prostak, Dr Nawrockiemu buty możesz czyścić.",SzymaAnna,Wed Apr 30 20:57:36 +0000 2025
1917676861796110554,https://x.com/Aleksandrawia3/status/1917676861796110554,"@artbaroficjalny Zdarzało mi się słuchać Pana wystąpień zanim został Pan kandydatem na prezydenta. Od dzisiaj nie mam zamiaru tego robić. Straszny buc gardzący innymi z Pana wyszedł, co pokazała nagrana rozmowa z Krzysztofem Stanowskim. Nazwałabym Pana innym określeniem, ale szkoda mi słów. Wstyd",Aleksandrawia3,Wed Apr 30 20:26:07 +0000 2025
1917653426080735708,https://x.com/katarzynkag2811/status/1917653426080735708,@artbaroficjalny #Dr Bartoszewicz Głową Państwa 🇵🇱🇵🇱,katarzynkag2811,Wed Apr 30 18:52:59 +0000 2025
1917626950954504418,https://x.com/TotalNy_lewaK83/status/1917626950954504418,@Magda92259897 @Piotr768676 @artbaroficjalny -oglądałem. -nie oglądałem.,TotalNy_lewaK83,Wed Apr 30 17:07:47 +0000 2025
1917619841143362025,https://x.com/JustWierzba/status/1917619841143362025,@artbaroficjalny Czy jest pan otwarty na zdjęcia z wyborcami?,JustWierzba,Wed Apr 30 16:39:32 +0000 2025
1917606446419632318,https://x.com/ArkadiuszEmerla/status/1917606446419632318,@artbaroficjalny Chyba odpalił Pan słynny protokół 1%... https://t.co/1wkxt4lfwi,ArkadiuszEmerla,Wed Apr 30 15:46:18 +0000 2025
1917581302213026159,https://x.com/AnnaSz69758039/status/1917581302213026159,@artbaroficjalny Miałam na pana głosować ale po tym co usłyszałam z pana ust o kontrkandytacie panu Nawrockim w rozmowie z panem Stanowskim zmieniłam zdanie o panu. Teraz jestes w moich oczach zwyklym hejterem.,AnnaSz69758039,Wed Apr 30 14:06:24 +0000 2025
1917554279113531843,https://x.com/MarekS98837118/status/1917554279113531843,"@artbaroficjalny Jak tam, żulu? Łyso ci po tej wrednej wypowiedzi? Drobny żul z ciebie. Nie wart plunięcia.",MarekS98837118,Wed Apr 30 12:19:01 +0000 2025
1917548800836501552,https://x.com/Magda92259897/status/1917548800836501552,@Piotr768676 @artbaroficjalny https://t.co/8Bz64CBJRC,Magda92259897,Wed Apr 30 11:57:15 +0000 2025
1917548571374805304,https://x.com/Magda92259897/status/1917548571374805304,"@MariaSobos14304 @artbaroficjalny Jestem w szoku‼️ Ceniłam tego człowieka i chętnie słuchałam w @RepublikaTV , ale po tych słowach stracił w moich oczach. Sądziłam, że jest człowiekiem inteligentnym i na wysokim poziomie, ale rzeczywistość okazała się zupełnie inna🫣 Dramat‼️ Dno‼️",Magda92259897,Wed Apr 30 11:56:20 +0000 2025
1917543279018795330,https://x.com/BartoszKrzywosz/status/1917543279018795330,@wera930514 @artbaroficjalny Lotniskowce. Na Bałtyku. Poczytaj. Pogadamy,BartoszKrzywosz,Wed Apr 30 11:35:18 +0000 2025
1917522740644368671,https://x.com/Megg654203/status/1917522740644368671,@artbaroficjalny Cytuję: menel to menel.  Skąd ma Pan pieniądze na kampanię?,Megg654203,Wed Apr 30 10:13:41 +0000 2025
1917512532069122335,https://x.com/beata_dusza/status/1917512532069122335,"@BoczekJr @artbaroficjalny Mam nadzieję, że media prawicowe dadzą takiemu bana, bo dzięki nim się wylansował, a teraz napluł temu środowisku prosto w twarz. Dla mnie @artbaroficjalny to wtyka Tuska i służy rozdrobnieniu głosów prawicy.",beata_dusza,Wed Apr 30 09:33:07 +0000 2025
1917505325789311210,https://x.com/BGiraffa/status/1917505325789311210,"@artbaroficjalny Nie myślałem ,że z pana taki gnojek.",BGiraffa,Wed Apr 30 09:04:29 +0000 2025
1917503414809792732,https://x.com/BoczekJr/status/1917503414809792732,@beata_dusza @artbaroficjalny Rynsztok.,BoczekJr,Wed Apr 30 08:56:54 +0000 2025
1917503387437801638,https://x.com/adwokatpaul/status/1917503387437801638,@artbaroficjalny Wycof się i poprzyj Brauna.,adwokatpaul,Wed Apr 30 08:56:47 +0000 2025
1917503057081897062,https://x.com/n00652609/status/1917503057081897062,@artbaroficjalny Będzie wyzywanie ludzi od meneli?,n00652609,Wed Apr 30 08:55:28 +0000 2025
1917496020835184758,https://x.com/Anna94086140/status/1917496020835184758,"@artbaroficjalny Chciałam tylko napisać, że jesteś człowieku ZWYKŁYM CHAMEM i PROSTAKIEM i bardzo dobrze, że Pan Stanowski pokazał to całemu światu.",Anna94086140,Wed Apr 30 08:27:31 +0000 2025
1917493548607303687,https://x.com/malgorzata0710/status/1917493548607303687,"@artbaroficjalny Stracił Pan mój szacunek😣😣To, co Pan zrobił jest obrzydliwe 🤮Blokuję, żeby więcej Pana nie widzieć na swoim koncie🤮",malgorzata0710,Wed Apr 30 08:17:41 +0000 2025
1917491542710968596,https://x.com/Kornikoro/status/1917491542710968596,"@artbaroficjalny Arturek chodzi po mediach i błaga, żeby go ktoś wylansował. No i Stano go wylansował, jako największego konfidenta w klasie.",Kornikoro,Wed Apr 30 08:09:43 +0000 2025
1917487978869346720,https://x.com/beata_dusza/status/1917487978869346720,"@artbaroficjalny #jprdl🤦🏻‍♀️ To jest drogi panie poniżej krytyki, dno i wodorosty. Hatfuu 🤬 https://t.co/HzWitC3JDC",beata_dusza,Wed Apr 30 07:55:34 +0000 2025
1917478924097052826,https://x.com/PolskaFiga/status/1917478924097052826,@artbaroficjalny Stracił Pan w moich oczach lubiłam pana słuchać ale szczucie na innych kandydatów nisko pan upada.....,PolskaFiga,Wed Apr 30 07:19:35 +0000 2025
1917478767406076017,https://x.com/MariaSobos14304/status/1917478767406076017,"@artbaroficjalny Ej facet, menelem, to niestety ty się okazałeś. https://t.co/cPow86jlFT",MariaSobos14304,Wed Apr 30 07:18:57 +0000 2025
1917478697247945182,https://x.com/rodzina_Polska_/status/1917478697247945182,"@artbaroficjalny "" Menel pozostanie menelem "" nie masz szacunku do kontrkandydata, strasznie to słabe, jakieś gadanie o ustawkach kibicowskich nie mając żadnych dowodów na to.  Mam nadzieję że redaktor Klarenbach już więcej cię nie zaprosi do republiki.",rodzina_Polska_,Wed Apr 30 07:18:41 +0000 2025
1917475546956718530,https://x.com/Marcinekx_/status/1917475546956718530,@artbaroficjalny I szczując na Nawrockiego tylko pan stracisz,Marcinekx_,Wed Apr 30 07:06:10 +0000 2025
1917470996904149132,https://x.com/gordonshumwayPL/status/1917470996904149132,@artbaroficjalny Mam pytanie. Czy pan jest homoseksualistą?,gordonshumwayPL,Wed Apr 30 06:48:05 +0000 2025
1917345719490330900,https://x.com/katrina1974pl/status/1917345719490330900,"@artbaroficjalny Ale pan jesteś bufon, 1 obserwowany.",katrina1974pl,Tue Apr 29 22:30:16 +0000 2025
1917335163140186225,https://x.com/MajewskiSz/status/1917335163140186225,@artbaroficjalny Będę.  Mam jedno pytanie.,MajewskiSz,Tue Apr 29 21:48:19 +0000 2025
1917330590866583730,https://x.com/Piotr732Warwick/status/1917330590866583730,"@artbaroficjalny Panie Arturze, zwyciężymy ✌️",Piotr732Warwick,Tue Apr 29 21:30:09 +0000 2025
1917330136992805069,https://x.com/mar3k_aureliusz/status/1917330136992805069,@artbaroficjalny Do kogo to niby jest skierowane?,mar3k_aureliusz,Tue Apr 29 21:28:21 +0000 2025
