id,url,content,author,created_at
1919315205441380680,https://x.com/Dzban110/status/1919315205441380680,@LukasSikora10 @MagdaBiejat mysli o parytetach w budowlance i wykonczeniowce,Dzban110,Mon May 05 08:56:18 +0000 2025
1919314920711024826,https://x.com/Dzban110/status/1919314920711024826,"@MagdaBiejat ale nudy, jakie prawa kobiet wymyslila pani w Legnicy? Prawo do eksmitowania partnera z jego mieszkania? To juz chyba zostalo wymyslone przez lewakow i jest stosowane.",Dzban110,Mon May 05 08:55:10 +0000 2025
1919289150345277626,https://x.com/AndrzejAki/status/1919289150345277626,@MagdaBiejat Wie Pani co się stało pod Legnicą?,AndrzejAki,Mon May 05 07:12:46 +0000 2025
1919278362528239756,https://x.com/JolasiaPoleca/status/1919278362528239756,"@LukasSikora10 @MagdaBiejat Na co ty liczysz pewnie byla rozmowa jak jeszcze dac profity , kobietom kosztem mezczyzn",JolasiaPoleca,Mon May 05 06:29:54 +0000 2025
1919277916052959430,https://x.com/JolasiaPoleca/status/1919277916052959430,"@MagdaBiejat Jakie znowu prawa kobiet jprd... przez takie baby mezczyzni coraz bardziej nienawidza kobiet... ja mam juz dosc przywilejow dla kobiet, a mezczyzni co gorsi? STOP FEMINIZMOWI. Tak i mowie to jako kobieta",JolasiaPoleca,Mon May 05 06:28:08 +0000 2025
1919276806634340837,https://x.com/Usmiechaj_Sie/status/1919276806634340837,@DarekColombia @MagdaBiejat Przychodzi już więcej niż 5 osób?,Usmiechaj_Sie,Mon May 05 06:23:43 +0000 2025
1919262236125598000,https://x.com/Sven_legionista/status/1919262236125598000,@MagdaBiejat Prawa kobiet spoko a co z prawami mężczyzn? Samo to że muszę pracować 5 lat dłużej niż jakaś randomowa Julka jest niesprawiedliwe! Macie ministerstwo równości kiedy to będzie wyrównane?,Sven_legionista,Mon May 05 05:25:49 +0000 2025
1919245349245329600,https://x.com/LukasSikora10/status/1919245349245329600,"@MagdaBiejat Czy w rozmowach chodziło o ograniczenie praw kobiet i zrównanie ich z prawami mężczyzn? Emerytura, opieka nad dziećmi, alimenty, praca w bardziej ryzykownych zawodach, ograniczenie zatrudnienia na stanowiskach administracyjnych i kierowniczych?",LukasSikora10,Mon May 05 04:18:43 +0000 2025
1919176537384821046,https://x.com/mgrrogozek/status/1919176537384821046,@MagdaBiejat @MagdaBiejat czy w Polsce jak zakażą poruszać się pojazdami spalinowymi to dalej będzie można jeździć samochodami z silnikami benzynowymi????  Przyszły prezydent musi wiedzieć takie rzeczy,mgrrogozek,Sun May 04 23:45:17 +0000 2025
1919174318681927798,https://x.com/RemArkadiusz/status/1919174318681927798,"@MagdaBiejat Z ""logiką"" głupawej Madzi, z zawodu politycznej prostytutki, publicznie występującej w obronie żydowskich zbrodniarzy, ludobójców, problem należy rozwiązać jak z samochodami spalinowymi! Koszty życia, zastąpić kosztami przeżycia, natychmiast ulegną znacznemu obniżeniu! https://t.co/63oEIvaor2",RemArkadiusz,Sun May 04 23:36:28 +0000 2025
1919173169107054990,https://x.com/adtyoucantrust/status/1919173169107054990,@MagdaBiejat Słabiutko,adtyoucantrust,Sun May 04 23:31:54 +0000 2025
1919138381423947905,https://x.com/Bombowacena/status/1919138381423947905,"@MagdaBiejat co to za dyskryminacja mężczyzn? wycieracie gęby słowami tolerancja, wolność a nic nie macie z tym wspólnego.",Bombowacena,Sun May 04 21:13:40 +0000 2025
1919127748942889092,https://x.com/PolskaPonad/status/1919127748942889092,"@MagdaBiejat góra 20-40 osób pewnie sami działacze, po co tak nieumiejętnie kadrować i manipulować :) https://t.co/47nMUvoA0I",PolskaPonad,Sun May 04 20:31:25 +0000 2025
1919113799983845401,https://x.com/h2ols1/status/1919113799983845401,@MagdaBiejat No Legnica i Rybnik pasują do agendy xD jestes tak odklejona ze szkoda strzępic,h2ols1,Sun May 04 19:35:59 +0000 2025
1919112468682432602,https://x.com/22Bilet/status/1919112468682432602,@MagdaBiejat I 20 osób na spotkaniu.🤣🤣🤣,22Bilet,Sun May 04 19:30:42 +0000 2025
1919107874401182201,https://x.com/rodzina_Polska_/status/1919107874401182201,@MagdaBiejat Będzie 3% ?????,rodzina_Polska_,Sun May 04 19:12:27 +0000 2025
1919091523221684423,https://x.com/Wojciech890919/status/1919091523221684423,"@MagdaBiejat Ej, zróbcie Magdzie zdjęcie aby myśleli, że jest dużo ludzi 🤣",Wojciech890919,Sun May 04 18:07:28 +0000 2025
1919089425679544830,https://x.com/seb960613912517/status/1919089425679544830,@MagdaBiejat Nawet najwyższa stajenna ranga nie zrobi z osła mustanga ...,seb960613912517,Sun May 04 17:59:08 +0000 2025
1919063577371058453,https://x.com/TeslaKedar/status/1919063577371058453,"@MagdaBiejat Obyta oślico,stolica Estonii?",TeslaKedar,Sun May 04 16:16:25 +0000 2025
1919062499158007832,https://x.com/aTomowy69/status/1919062499158007832,"@MagdaBiejat Prawach kobiet xD bez kitu tylko lewica twierdzi, że kobieta to nie człowiek 😂",aTomowy69,Sun May 04 16:12:08 +0000 2025
1919059238346740197,https://x.com/runciter_glenn/status/1919059238346740197,@MagdaBiejat Prawa nienarodzonych kobiet też były omawiane?,runciter_glenn,Sun May 04 15:59:11 +0000 2025
1919058860628644025,https://x.com/KDybowicz/status/1919058860628644025,@MagdaBiejat Uczciwie bez specjalnej uszczypliwości. Ta skromna ilość osób na spotkaniu z Panią nie jest przypadkowa. Pani i Pani ugrupowanie nie liczycie sie.  Fakty,KDybowicz,Sun May 04 15:57:41 +0000 2025
1919056208700317819,https://x.com/CezaryStac53609/status/1919056208700317819,@MagdaBiejat Gdzie prawo mężczyzn do równego wieku emerytalnego?,CezaryStac53609,Sun May 04 15:47:09 +0000 2025
1919055856416522613,https://x.com/depdam23/status/1919055856416522613,"@MagdaBiejat @MagdaBiejat czy jako @__Lewica  możecie złożyć projekt poselski ustawy zakazującej wprowadzania dopłat do kredytów?  Nawet jeśli nie przejdzie, konsultacje społeczne na pewno pokazały by nastroje społeczeństwa do dopłacania deweloperom; tak jak było z jawnością cen PL2050.",depdam23,Sun May 04 15:45:45 +0000 2025
