id,url,content,author,created_at
1919343824045760994,https://x.com/Fizyq13/status/1919343824045760994,"@GrzegorzBraun_ piękne słowa Panie Grzegorzu, oby wraz za nimi szły i czyny🤍",Fizyq13,Mon May 05 10:50:01 +0000 2025
1919312349409759416,https://x.com/PolakWkurwiony/status/1919312349409759416,"@michael_p1993 @jebacprawi96210 @GrzegorzBraun_ Przede wszystkim wolność i wybór. My nie narzucamy przymusu tańszego ruskiego gazu. Jak ktoś chce niech zaopatruje się u operatora, który ma droższy gaz skądś indziej. To eurokomuna zakazuje nam wyboru tańszego paliwa bo sankcje. Cholerni totalitaryści chcą dyktować nam jak żyć.",PolakWkurwiony,Mon May 05 08:44:57 +0000 2025
1919310848616476719,https://x.com/PolakWkurwiony/status/1919310848616476719,@jebacprawi96210 @GrzegorzBraun_ Ci co chcą mieć taniej powinni mieć dostęp do ruskiego gazu a ci którzy chcą popierać sprawę mogliby korzystać z droższego gazu sprowadzanego skądś indziej. Wtedy jest wolność. Eurokomuna nie daje wyboru. Wszyscy mają mieć drogo bo sankcje. To ty narzucasz swoje poglądy innym.,PolakWkurwiony,Mon May 05 08:39:00 +0000 2025
1919300032034972112,https://x.com/Jarosaw29448541/status/1919300032034972112,"@GrzegorzBraun_ ""Dziś odebrał sobie życie tata  , który był alienowany od dzieci i zmagał się z tego powodu z depresją. Bartek miał 31 lat Nie dotrwał do końca sprawy , która się przeciągała.... Alienacja Rodzicielska zabija ."" https://t.co/azoA4fd0Q2",Jarosaw29448541,Mon May 05 07:56:01 +0000 2025
1919294530546753542,https://x.com/CBacon95/status/1919294530546753542,"@GrzegorzBraun_ go go go, Grzegorz! https://t.co/uXfz6y0fGI",CBacon95,Mon May 05 07:34:09 +0000 2025
1919239187506638918,https://x.com/TomaszSend90352/status/1919239187506638918,@GrzegorzBraun_ Głosuje na pana panie Grzegorzu 🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱🇵🇱,TomaszSend90352,Mon May 05 03:54:14 +0000 2025
1919171374205042940,https://x.com/kaczmarek48403/status/1919171374205042940,@GrzegorzBraun_ @KMOlsztyn https://t.co/wd62jU3osJ,kaczmarek48403,Sun May 04 23:24:46 +0000 2025
1919155639915282922,https://x.com/sie2pl/status/1919155639915282922,@GrzegorzBraun_ 🇵🇱 🤝  Moim zdaniem będą to najważniejsze wybory po 1989 roku.,sie2pl,Sun May 04 22:22:15 +0000 2025
1919132150785257476,https://x.com/MarieCinderell/status/1919132150785257476,"@GrzegorzBraun_ Panie Grzegorzu @GrzegorzBraun_ proszę dopisać w Pana profilu: ""Przyszły Prezydent Polski ""  albo lepiej: ""Prezydent Polski""  Trzeba postawić ludzi przed faktem dokonanym!  @KONFEDERACJA_ @KoronyPolskiej",MarieCinderell,Sun May 04 20:48:55 +0000 2025
1919099453333438653,https://x.com/MarieCinderell/status/1919099453333438653,@GrzegorzBraun_ Nikt nie będzie mi dyktować kim mam być !!!  Dlatego głosuję na Brauna ! @GrzegorzBraun_ https://t.co/VmKmalkHCn,MarieCinderell,Sun May 04 18:38:59 +0000 2025
