id,url,content,author,created_at
1916221028046667873,https://x.com/nextstacja/status/1916221028046667873,@Trzaskowski2O25 @trzaskowski_ Znow klamstwo❗ Na #debataprezydencka do @RepublikaTV pan sie nie stawil wiec niby jak pan chce byc prezydentem wszystkich polakow? Tyle milionow polakow pan olal.  #nigdyWiecejPO Tylko NIE #Trzaskowski2025.,nextstacja,Sat Apr 26 20:01:09 +0000 2025
1916187942411817194,https://x.com/KaczmarekSlawek/status/1916187942411817194,"Alert!!! W poniedziałek cyrk o 18! Wyłączamy #YouTube! Nie oglądamy bredni i kłamstw, nie dajemy sobą manipulować! #hipokryzja #żenada #polityka #wybory2025 #debataprezydencka",KaczmarekSlawek,Sat Apr 26 17:49:41 +0000 2025
1915868555373121651,https://x.com/batkmano/status/1915868555373121651,"Będzie ciekawie, pierwszy raz będzie @trzaskowski_ i @SlawomirMentzen na jednej debacie w @se_pl! Zapowiada się ciekawa dyskusja, mam nadzieję, że utrzymają poziom debaty z @RepublikaTV.  #wybory2025 #WyboryPrezydenckie2025 #debata #debataprezydencka #Mentzen #Mentzen2025 #MentzenDrugaTura",batkmano,Fri Apr 25 20:40:33 +0000 2025
1915693455658947024,https://x.com/naczasienews/status/1915693455658947024,"W poniedziałek, 28.04, o godzinie 18:00 odbędzie się kolejna #debataprezydencka, tym razem w SuperExpress. Udział w niej potwierdzili już wszyscy kandydaci, włącznie z Krzysztofem Stanowskim.  Źródło: PRESS https://t.co/31MH6w38Wc",naczasienews,Fri Apr 25 09:04:46 +0000 2025
1915428005335204075,https://x.com/Monika1549158/status/1915428005335204075,https://t.co/xszwvuswtb #debataprezydencka z K2,Monika1549158,Thu Apr 24 15:29:58 +0000 2025
1915341962766414101,https://x.com/DuchzNarodu/status/1915341962766414101,Nasz Republikański kandydat  na Prezydenta RP🇵🇱 @jakubiak_marek w znanym i cenionym @OficjalneZero Czy właśnie w takim składzie odbędzie sie decydująca debata przed drugą turą wyborów prezydenckich w Polsce😅 #Jakubiak2025 #debataprezydencka #ZawszeZaPolską #AmorPatriaeNostraLex https://t.co/43V2yX5guq,DuchzNarodu,Thu Apr 24 09:48:03 +0000 2025
1915287514731999568,https://x.com/KrzysiekPiorun/status/1915287514731999568,@BeataCzuma @TomaszSiemoniak @MSWiA_GOV_PL Wilanów już ma za swoje😂 WALKI NA 🔪  #Wybory #Prezydencki2025 #debataprezydencka #Warszawa #Polska https://t.co/ApkQIUZCm9,KrzysiekPiorun,Thu Apr 24 06:11:42 +0000 2025
1914919537146818607,https://x.com/tygodnik/status/1914919537146818607,@TStawiszynski: Debaty prezydenckie przypominają freak fighty MMA. Dlaczego się na to godzimy? Czytaj dalej 👉  https://t.co/RQafCv3ixC #końskie #debataprezydencka https://t.co/iLFzxojEfv,tygodnik,Wed Apr 23 05:49:29 +0000 2025
1914762628968087887,https://x.com/MarcinJ75498856/status/1914762628968087887,Panie @PatrykJaki czy mogę prosić o odpowiedź? Proszę o odpowiedź bo jak Pan widzi w tej sytuacji automatyczne odpowiedzi z fb wypadają w tej sytuacji komicznie.  #PiS #WyboryPrezydenckie2025 #Polska #debataprezydencka #debata #szacunek #tolerancja #patopatriotyzm #zło https://t.co/E84DXrUFyE,MarcinJ75498856,Tue Apr 22 19:25:59 +0000 2025
1914229523903647930,https://x.com/KrzysiekPiorun/status/1914229523903647930,"@HenrykGandecki PiS w 5 min mógł załatwić Ukraińców,a zrobił z ich Słudzy Polski zniszczyli Polskę !#DebataPrezydencka #wybory #PrzyjacieleRepubliki #WyboryPrezydenckie2025 https://t.co/Vy9tXwQjXK",KrzysiekPiorun,Mon Apr 21 08:07:37 +0000 2025
1914172158743322740,https://x.com/KrzysiekPiorun/status/1914172158743322740,"@JakubMokotow Warszawa jest bezpieczna,a szczególnie gdzie jest Wilanów i dobrze im tam he he  @trzaskowski_ @SlawomirMentzen @NawrockiKn @szymon_holownia #Warszawa #DebataPrezydencka #WyboryPrezydenckie2025 https://t.co/9WkpYr6lN8",KrzysiekPiorun,Mon Apr 21 04:19:40 +0000 2025
1913533443310264562,https://x.com/Almostgoodmann/status/1913533443310264562,@K_Stanowski na #debataprezydencka powinien na zakończenie każdej wypowiedzi (jak Mentzen) dodać:  To się w pale nie mieści!,Almostgoodmann,Sat Apr 19 10:01:39 +0000 2025
1913212107677462791,https://x.com/przemys55596/status/1913212107677462791,ale bym się poruchał do tych debat w tle   #debatawkońskich #debataprezydencka #debataRepubliki,przemys55596,Fri Apr 18 12:44:46 +0000 2025
1913154984067149828,https://x.com/Husarz3981/status/1913154984067149828,#debataprezydencka https://t.co/mXyF1I6xRZ,Husarz3981,Fri Apr 18 08:57:47 +0000 2025
