id,url,content,author,created_at
1918535089656393854,https://x.com/LUKASZ_KAMINS/status/1918535089656393854,@szymon_holownia @MagdaBiejat Nur Der III Weg!!,LUKASZ_KAMINS,Sat May 03 05:16:24 +0000 2025
1918367996570952115,https://x.com/Robert_7666/status/1918367996570952115,@szymon_holownia @MagdaBiejat Te tłumy są dobrym sondażem 😂😂😂😂,Robert_7666,Fri May 02 18:12:26 +0000 2025
1918299603402731918,https://x.com/aleksio33/status/1918299603402731918,@szymon_holownia @MagdaBiejat Kiedy ty wreszcie znikniesz że sceny politycznej paszojadzie j3bany?,aleksio33,Fri May 02 13:40:40 +0000 2025
1918257111349543250,https://x.com/EvaStankie64892/status/1918257111349543250,@szymon_holownia @MagdaBiejat Ta żałosna gadanina kolchozowsko- saloonowskiej podzwierzecej rasy tylko potwierdza że są totalnie pozbawieni humanizmu i empatii ot za 20 centów i 50 kopiejek CCCP👎🐊🤖,EvaStankie64892,Fri May 02 10:51:49 +0000 2025
1918240835147383063,https://x.com/skovv23/status/1918240835147383063,@szymon_holownia @MagdaBiejat cos mało tego lewactwa się zlazło.,skovv23,Fri May 02 09:47:08 +0000 2025
1918175512112816386,https://x.com/AnnaNow69380043/status/1918175512112816386,@PrzemekGoldmann @szymon_holownia @MagdaBiejat 😂🤡,AnnaNow69380043,Fri May 02 05:27:34 +0000 2025
1918169022022979924,https://x.com/dkbinv/status/1918169022022979924,@szymon_holownia @MagdaBiejat https://t.co/oHP8ScEhEP,dkbinv,Fri May 02 05:01:47 +0000 2025
1918077688822091953,https://x.com/MariuszPro31530/status/1918077688822091953,"@szymon_holownia @MagdaBiejat Niewielu do ""pieczenia chleba"".",MariuszPro31530,Thu May 01 22:58:51 +0000 2025
1918076754318770358,https://x.com/OliwierFMPIS/status/1918076754318770358,"@szymon_holownia @MagdaBiejat Oj, tłumów to tu nie ma.",OliwierFMPIS,Thu May 01 22:55:09 +0000 2025
1918073425748230603,https://x.com/ireneusz_mroz/status/1918073425748230603,@szymon_holownia @MagdaBiejat Hołownia musi odejść.,ireneusz_mroz,Thu May 01 22:41:55 +0000 2025
1918068418600653178,https://x.com/AwaSiwiak10397/status/1918068418600653178,"@szymon_holownia @MagdaBiejat Słyszałam że już jawnie rotek mówisz że twoim zadaniem jest nie pozwolić Nawrockiemu wygrać wyborów… Pajacu  Życzę 0,1 %",AwaSiwiak10397,Thu May 01 22:22:01 +0000 2025
1918032964383842810,https://x.com/Edyta21088899/status/1918032964383842810,"@konrad_wojtek @szymon_holownia @MagdaBiejat Fakty są takie, że ojciec nawet 10 dzieci nie będzie w ciąży i o tym jest mowa. Nie zapraszam do dyskusji, bo nie rozumiesz.",Edyta21088899,Thu May 01 20:01:08 +0000 2025
1918026926880403610,https://x.com/ColourofM86/status/1918026926880403610,@WojciechKuzma2 @KozlowskiPolska @RadekKar @szymon_holownia @MagdaBiejat To jest program Rodzina na Swojem,ColourofM86,Thu May 01 19:37:09 +0000 2025
1918026513716310238,https://x.com/ColourofM86/status/1918026513716310238,@WojciechKuzma2 @KozlowskiPolska @RadekKar @szymon_holownia @MagdaBiejat Pewnie słyszał dlatego teraz zaniesłyszał. I zaniemówił,ColourofM86,Thu May 01 19:35:30 +0000 2025
1918019953510305905,https://x.com/Bartomi8773032/status/1918019953510305905,@hoffmann_tomek @szymon_holownia @MagdaBiejat Bo tvpo nie zaprosili trzaska?,Bartomi8773032,Thu May 01 19:09:26 +0000 2025
1917969391058382951,https://x.com/WolnyPolak2020/status/1917969391058382951,@szymon_holownia @MagdaBiejat I foto... https://t.co/0XUj5bsDYE,WolnyPolak2020,Thu May 01 15:48:31 +0000 2025
1917965275200213019,https://x.com/Wiktor_Rusak/status/1917965275200213019,@marek_uss @szymon_holownia @MagdaBiejat Taaaak usmiechnieci przyjaciele od debilizmu,Wiktor_Rusak,Thu May 01 15:32:10 +0000 2025
1917952120516473104,https://x.com/Adamblab89/status/1917952120516473104,"@szymon_holownia @MagdaBiejat Gość wziął 7mln kredytu, żeby hotdogi sprzedawać",Adamblab89,Thu May 01 14:39:54 +0000 2025
1917948723193147788,https://x.com/fractal19711/status/1917948723193147788,"@szymon_holownia @MagdaBiejat Cholownia. , choćbyś tysiące paitszopów opublikował to i tak nie zbliżysz, się do Menzena. Zrozum , ciebie nikt nie chce",fractal19711,Thu May 01 14:26:24 +0000 2025
1917934799102034076,https://x.com/HHukisz/status/1917934799102034076,"@szymon_holownia @MagdaBiejat Panie Szymonie, codziennie zaglądasz do mojego okna, może wpadniesz, wypijemy kawę, pogadamy bo przecież ludzie są najważniejsi. https://t.co/920uRs4Sxa",HHukisz,Thu May 01 13:31:04 +0000 2025
1917934491177488568,https://x.com/Tomas9975138359/status/1917934491177488568,@szymon_holownia @MagdaBiejat Obraz nędzy u rozpaczy,Tomas9975138359,Thu May 01 13:29:50 +0000 2025
1917934202235859445,https://x.com/SebastianW79/status/1917934202235859445,@szymon_holownia @MagdaBiejat https://t.co/PLrpLGwIpm,SebastianW79,Thu May 01 13:28:41 +0000 2025
1917909080942723457,https://x.com/Caro25555/status/1917909080942723457,"@szymon_holownia @MagdaBiejat Słuchać się nie da tego bzdurzenia na twoich występach, patola jednym słowem",Caro25555,Thu May 01 11:48:52 +0000 2025
