id,url,content,author,created_at
1916097062203965570,https://x.com/prawdziwywaza/status/1916097062203965570,@mnstrudawnia To jest jego wyborca #Maciak2025,prawdziwywaza,Sat Apr 26 11:48:33 +0000 2025
1915989787535605954,https://x.com/bartosz_janisz/status/1915989787535605954,Morgen i #Maciak2025 🫡🫡🫡 https://t.co/oueDIC8beh,bartosz_janisz,Sat Apr 26 04:42:17 +0000 2025
1915764238485721111,https://x.com/JaTu223889745/status/1915764238485721111,"@PremierRP @donaldtusk Na wszystko brakuje, ale uzbrojenie nie. Wszyscy razem za zbrojeniem Pis/Po/konfederacja. Tylko #Maciak2025 przeciw.",JaTu223889745,Fri Apr 25 13:46:02 +0000 2025
1915743798497255903,https://x.com/t3stuj/status/1915743798497255903,@MAGchaosu777 tylko Maciej #Maciak2025 https://t.co/goPSu9nSuT,t3stuj,Fri Apr 25 12:24:49 +0000 2025
1915643325392031959,https://x.com/JaTu223889745/status/1915643325392031959,"@KarolPopieramy Bieda w kraju, nie potrzebna nam kolejna utrzymanka na garbie. #Maciak2025",JaTu223889745,Fri Apr 25 05:45:34 +0000 2025
1915567990789333470,https://x.com/trypsynogen2137/status/1915567990789333470,#maciak2025,trypsynogen2137,Fri Apr 25 00:46:13 +0000 2025
1915450315601563720,https://x.com/Anonzpola2/status/1915450315601563720,@KaziuWu #Maciak2025 #Maciaknaprezydenta https://t.co/8Nf8cxaEOY,Anonzpola2,Thu Apr 24 16:58:37 +0000 2025
1915341081073401926,https://x.com/PopieramRuchDiP/status/1915341081073401926,"Maciej Maciak 🕊🇵🇱 ""Make Business, Not War!"" @maciej_maciak   #Maciak2025 #Pokój #dobrerelacjezsąsiadami #handel #Dobrobyt  ""This is what happens when your country invests in technologies instead of funding wars!""👇",PopieramRuchDiP,Thu Apr 24 09:44:33 +0000 2025
1915090950256288171,https://x.com/gromada1234/status/1915090950256288171,18 maja wybieram Dobrobyt i Pokój.  #Maciak2025  Tym razem chłopcy NIE PÓJDĄ NA WOJNĘ. https://t.co/KaDtYSf5vp,gromada1234,Wed Apr 23 17:10:37 +0000 2025
1915062627228692549,https://x.com/JaTu223889745/status/1915062627228692549,@kwronski_ Brawo dla 3 świadomych młodych ludzi. #Maciak2025,JaTu223889745,Wed Apr 23 15:18:05 +0000 2025
1915054443982410007,https://x.com/t3stuj/status/1915054443982410007,"@szymon_kasprzyk Nie, Maciej #Maciak2025 mi przywrócił mózg do prawidłowego funkcjonowania, w jego programach byly podawane artykuly z prasy amerykanskiej jak Soros finansuje i skrajną lewicę i skrajną prawicę.",t3stuj,Wed Apr 23 14:45:34 +0000 2025
1915053829181366692,https://x.com/gromada1234/status/1915053829181366692,"Tradycje nasze wielkie, sprawa nasza słuszna.  #Maciak2025 https://t.co/OhMtmNWxBK",gromada1234,Wed Apr 23 14:43:07 +0000 2025
1915047271605084383,https://x.com/gromada1234/status/1915047271605084383,Wywiad z #Maciak2025 https://t.co/MWQx9odFmj,gromada1234,Wed Apr 23 14:17:04 +0000 2025
1915002588988088405,https://x.com/gromada1234/status/1915002588988088405,Kiedy debata z #Maciak2025 ?,gromada1234,Wed Apr 23 11:19:30 +0000 2025
1914751133848932606,https://x.com/JaTu223889745/status/1914751133848932606,@redaktorbs Posiadanie dużej ilości pieniędzy pozwala na osiągnięcie aktywnej długowieczności. Przy rządach obecnej władzy partii telewizyjnych możemy pomarzyć o bogactwie. #Maciak2025 na prezydenta.,JaTu223889745,Tue Apr 22 18:40:19 +0000 2025
1914719364349133196,https://x.com/_oganeson/status/1914719364349133196,@WICKET44 @Korczarowski #maciak2025,_oganeson,Tue Apr 22 16:34:04 +0000 2025
1914440248672633149,https://x.com/gromada1234/status/1914440248672633149,10 milionów obywateli w referendum w 2023 wypowiedziało się w temacie. Zakaz imigracji z Afryki i Bliskiego Wschodu.  Tylko #Maciak2025 posłucha się głosu narodu.,gromada1234,Mon Apr 21 22:04:58 +0000 2025
1914387750079299770,https://x.com/gromada1234/status/1914387750079299770,"Naprawdę weszliśmy do NATO  żeby żyć w zagrożeniu wojennym?  - #Maciak2025  Ciekawe dlaczego nigdy nie mówią, że po ukrainie następne będą Węgry i Słowacja? https://t.co/xHl9TSb2vf",gromada1234,Mon Apr 21 18:36:21 +0000 2025
1914278489324204181,https://x.com/gromada1234/status/1914278489324204181,"Pracownik jankeskiego kartelu medialnego TVN - Hołownia - zarządził kordon cenzorski wokół Maciaka.     I ""nagle"" melduje się Korczarowski. Pewnie przypadkiem.  #Maciak2025",gromada1234,Mon Apr 21 11:22:12 +0000 2025
1914104085562720307,https://x.com/sowizdrzal_nowy/status/1914104085562720307,Brawa dla @maciej_maciak #Maciak2025 https://t.co/KEpuhf4XGk,sowizdrzal_nowy,Sun Apr 20 23:49:10 +0000 2025
1914008410107899923,https://x.com/PopieramRuchDiP/status/1914008410107899923,Sekcja Rapu - Mój Dom 🎶✌ Maciej Maciak #Maciak2025🕊🇵🇱 #Pokój #dobrerelacjezsąsiadami #Dobrobyt  https://t.co/wvri0I43NM,PopieramRuchDiP,Sun Apr 20 17:29:00 +0000 2025
1913980216059273684,https://x.com/PustynnyBandyta/status/1913980216059273684,"✅️Dziękuję za przeczytanie nitki! Maciej Maciak zostanie Prezydentem, a nam wszystkim będzie żyło się lepiej! Głosujcie na Macieja Maciaka #maciak2025 @dobrobytipokoj @prezydentpl #WyboryPrezydenckie2025 #wybory https://t.co/Jijq0eLJCN",PustynnyBandyta,Sun Apr 20 15:36:58 +0000 2025
1913968024878543192,https://x.com/czaroxx/status/1913968024878543192,@rezapahlawicfc #Maciak2025,czaroxx,Sun Apr 20 14:48:31 +0000 2025
1913637867496030299,https://x.com/gromada1234/status/1913637867496030299,wywiad  z #Maciak2025 https://t.co/86EwjZPQ6C,gromada1234,Sat Apr 19 16:56:35 +0000 2025
1913527312668066117,https://x.com/gromada1234/status/1913527312668066117,#Maciak2025 https://t.co/OzL36tqdgJ,gromada1234,Sat Apr 19 09:37:17 +0000 2025
1913343569026298220,https://x.com/estik___/status/1913343569026298220,#Maciak2025,estik___,Fri Apr 18 21:27:09 +0000 2025
1913323015678370274,https://x.com/gromada1234/status/1913323015678370274,Wchodzi twardo #Maciak2025 https://t.co/K2SkYzV87l,gromada1234,Fri Apr 18 20:05:29 +0000 2025
1913300918977847784,https://x.com/gromada1234/status/1913300918977847784,Kim jest Maciak? Sprawdzam! #Maciak2025 https://t.co/GIZmfiWzUb,gromada1234,Fri Apr 18 18:37:41 +0000 2025
1913297094871261622,https://x.com/zrzedas/status/1913297094871261622,@JariuszMop #Maciak2025,zrzedas,Fri Apr 18 18:22:29 +0000 2025
1913263302555091045,https://x.com/ElbietaWil26399/status/1913263302555091045,Memuś - #Maciak2025 | Piosenka poparcia dla ruchu Dobrobytu i Pokoju █▬█... https://t.co/AvJ5t3zGYC via @YouTube,ElbietaWil26399,Fri Apr 18 16:08:12 +0000 2025
