id,url,content,author,created_at
1919138742452842939,https://x.com/atuuriiri/status/1919138742452842939,"@SlawomirMentzen Sławek, to nie tik tok",atuuriiri,Sun May 04 21:15:06 +0000 2025
1919101703976088033,https://x.com/witkowski_81/status/1919101703976088033,@SlawomirMentzen Tłum dzieci. Z coraz większej odległosci zamieszczasz te zdjęcia aby dzieci nie było widać. Darmowy cyrk też dzieciaki przyciąga.,witkowski_81,Sun May 04 18:47:56 +0000 2025
1919064237265031351,https://x.com/juliabuzniak/status/1919064237265031351,@SlawomirMentzen byłaś @xvdoma?,juliabuzniak,Sun May 04 16:19:03 +0000 2025
1919045555386282141,https://x.com/KrystianaArcka/status/1919045555386282141,"@SlawomirMentzen O!!! To zawsze było ""czerwone"" miasto a potem głosowało głownie na PO.",KrystianaArcka,Sun May 04 15:04:49 +0000 2025
1919035701170995292,https://x.com/milczaraa/status/1919035701170995292,"@starydlugi @Czempion2024 @SlawomirMentzen Nie no kurwa, nie mów że nie wygląda to komicznie",milczaraa,Sun May 04 14:25:39 +0000 2025
1919034513113378820,https://x.com/ORION_PISZ/status/1919034513113378820,"@SlawomirMentzen A kto przychodzi na wiece tęczowego Rafałka, czy Batyra, starzy zgredzi zwożeni autokarami, łyso Wam POPiSowskie trolle?",ORION_PISZ,Sun May 04 14:20:56 +0000 2025
1919023375998947468,https://x.com/MichallKichal/status/1919023375998947468,@Matt_Marshall_ @SlawomirMentzen Ważne że Ty do Izraela zdążyłeś,MichallKichal,Sun May 04 13:36:41 +0000 2025
1919013145781088454,https://x.com/KRAHS666/status/1919013145781088454,@SlawomirMentzen Znudzisz im się  jak gra kupiona pod choinkę i tyle w temacie 😎,KRAHS666,Sun May 04 12:56:02 +0000 2025
1919005860862284281,https://x.com/Roger0786276884/status/1919005860862284281,@SlawomirMentzen Trzeba odliczyć młodzież i gapiów bo modą jest iść na Mentzena...Wtedy prawdziwa frekwencja.,Roger0786276884,Sun May 04 12:27:05 +0000 2025
1918984821025448103,https://x.com/planetaplonie/status/1918984821025448103,@przeciwpis @SlawomirMentzen skoro przy takich liczbach mówisz mniej niż 10% to taki hołownia będzie na poziomie błędu statystycznego 1.2%,planetaplonie,Sun May 04 11:03:29 +0000 2025
