id,url,content,author,created_at
1914702189773140464,https://x.com/WagenaarMaurice/status/1914702189773140464,@KarolPopieramy @NowRocky2025 Prezydent Polski przygotowywuje się do wystąpienia w ONZ. 😂😂😂😂😂😂😂😂😂,WagenaarMaurice,Tue Apr 22 15:25:50 +0000 2025
1910193143229595685,https://x.com/aarcikol/status/1910193143229595685,"@KarolPopieramy @__d_o_b_i__ No mamy w Polsce bezliku dr, prof łamiących konstytucję Kaczyński, Duda, Jaki, Czarnek to ci najbardziej znani",aarcikol,Thu Apr 10 04:48:29 +0000 2025
1909997637610197054,https://x.com/MarekSrode38595/status/1909997637610197054,@KarolPopieramy A na debacie będzie opierdalanie peta kiełbasy na czas ?🤣🤣🤣,MarekSrode38595,Wed Apr 09 15:51:37 +0000 2025
1909614183525560546,https://x.com/AndrzejP1970/status/1909614183525560546,"@KarolPopieramy Szwagier jak sobie popił to też takie numery odwalał przy ludziach, ale po co to ludziom pokazywać?",AndrzejP1970,Tue Apr 08 14:27:54 +0000 2025
1909583289746157680,https://x.com/DonEmilos_Music/status/1909583289746157680,@KarolPopieramy Grzegorz Braun na prezydenta,DonEmilos_Music,Tue Apr 08 12:25:09 +0000 2025
1909567221807857965,https://x.com/JacekGarwatows1/status/1909567221807857965,@KarolPopieramy To ma być prezydent chyba debili,JacekGarwatows1,Tue Apr 08 11:21:18 +0000 2025
1909540853896331657,https://x.com/Halina410313/status/1909540853896331657,"@KarolPopieramy Promowałem siebie jako Batyr ,a teraz sam siebie wychwalam🤣🤣, że robię pompki, takiego narcyza Polska nie potrzebuje, prezydent ma być inteligentny, a nie tylko sprawny fizycznie.",Halina410313,Tue Apr 08 09:36:31 +0000 2025
1909527138895569042,https://x.com/BibaKanka/status/1909527138895569042,@KarolPopieramy https://t.co/J0viOz3j6D,BibaKanka,Tue Apr 08 08:42:01 +0000 2025
1909350555350098151,https://x.com/MrFreddie2004/status/1909350555350098151,@KarolPopieramy To jest żenujące.,MrFreddie2004,Mon Apr 07 21:00:21 +0000 2025
1909344827826720968,https://x.com/UltimaThule1000/status/1909344827826720968,@KarolPopieramy @__d_o_b_i__ Doktor to tu jest potrzebny.,UltimaThule1000,Mon Apr 07 20:37:35 +0000 2025
1909344715423514743,https://x.com/UltimaThule1000/status/1909344715423514743,@KarolPopieramy Przecież to jest chore. To jest CYRK.,UltimaThule1000,Mon Apr 07 20:37:08 +0000 2025
1909330633635021296,https://x.com/caltrask86/status/1909330633635021296,@KarolPopieramy @__d_o_b_i__ Wy politycy to te tytuły znajdujecie w chipsach i tyle są warte,caltrask86,Mon Apr 07 19:41:11 +0000 2025
1909303330469200078,https://x.com/Wojtek60850357/status/1909303330469200078,@KarolPopieramy No to Trzaskowski nie będzie spał po nocy!!!🇵🇱🇵🇱🇵🇱,Wojtek60850357,Mon Apr 07 17:52:41 +0000 2025
1909301124894441699,https://x.com/Adam80892313077/status/1909301124894441699,@KarolPopieramy Czołem do ziemi. Kwalifikacje godne PISowskiego prezydenta.,Adam80892313077,Mon Apr 07 17:43:55 +0000 2025
1909290441305882870,https://x.com/monarchistaaa/status/1909290441305882870,@KarolPopieramy W jaki sposob to sie przeklada na kompetencje? Bo nie rozumiem celu,monarchistaaa,Mon Apr 07 17:01:28 +0000 2025
1909285458477035609,https://x.com/Pawe60157642/status/1909285458477035609,@KarolPopieramy To jest cyrk,Pawe60157642,Mon Apr 07 16:41:40 +0000 2025
1909260782723805310,https://x.com/Joa29017912/status/1909260782723805310,@KarolPopieramy Putin się posra ze staruchu przed ramboTrampusiem,Joa29017912,Mon Apr 07 15:03:37 +0000 2025
1909249875499266286,https://x.com/Henryk_L/status/1909249875499266286,"@KarolPopieramy Bardzo fajnie, że jest forma. Szacunek. W tej kwestii daje Pan przykład, że sport i kondycja są ważne.  Tyle, że to na tym stanowisku nie wystarczy.  A reszta jest poniżej krytyki.",Henryk_L,Mon Apr 07 14:20:17 +0000 2025
1909248408465850792,https://x.com/CieplyWafel/status/1909248408465850792,"@KarolPopieramy Mój prezydent, jak by wyjebał Łukaszence liścia to by się zesrał 😎💪",CieplyWafel,Mon Apr 07 14:14:27 +0000 2025
1909245492581589230,https://x.com/wanda9977265303/status/1909245492581589230,@KarolPopieramy Szacunek.,wanda9977265303,Mon Apr 07 14:02:52 +0000 2025
1909241530344227106,https://x.com/Blacktop2020/status/1909241530344227106,@KarolPopieramy Nie no brawo. Przyszły Prezydent powinien robić jak najwięcej pompek. Tylko po co? https://t.co/gMXCjmClB8,Blacktop2020,Mon Apr 07 13:47:07 +0000 2025
1909233300801044691,https://x.com/kobuz65/status/1909233300801044691,"@marcinkds @KarolPopieramy Skoro tak twierdzisz. Poczekajmy na debatę twojego asa bążura z jak go nazywasz ""pustynią"".  Chyba, że bążur polegnie w pierwszej rundzie. Nie będę cię przekonywał boś jak rycerz. Zakuty łeb posiadasz.",kobuz65,Mon Apr 07 13:14:25 +0000 2025
1909229820367519980,https://x.com/marcinkds/status/1909229820367519980,"@kobuz65 @KarolPopieramy To nie są przejęzyczenia. To jest nieznajomość danego tematu i problemy z polszczyzną. On jest po prostu tępy. Niech robi pompki, a i tu idę  o zakład, że wygrałbym na luzie, ale niech robi, może się rozwinie. On nie ma nic do powiedzenia. On jest pustynią intelektualną..",marcinkds,Mon Apr 07 13:00:35 +0000 2025
1909227843596206314,https://x.com/ddmonek/status/1909227843596206314,@kobuz65 @KarolPopieramy No to ty na prezydenta się nie nadajesz...,ddmonek,Mon Apr 07 12:52:44 +0000 2025
1909227220691722325,https://x.com/ddmonek/status/1909227220691722325,"@KarolPopieramy Pompki w niepełnym zakresie.  Pompki na kościach, robi się na dwóch pierwszych kostkach, a nie na wszystkich, bo łatwiej.  Nierzetelnie, oszukane, na tzw. odp...  Zazwyczaj jak na treningu, tak i w życiu...",ddmonek,Mon Apr 07 12:50:15 +0000 2025
1909226890688102794,https://x.com/Katarzy64103283/status/1909226890688102794,"@KarolPopieramy Pajacującego kumpla bandytów, faszystów, bez górnych piątek ale z tytułem dr. @PatrykJaki też ma tytuł.",Katarzy64103283,Mon Apr 07 12:48:57 +0000 2025
1909224605606109250,https://x.com/kastel0gandolfo/status/1909224605606109250,"@KarolPopieramy To tak, pompki na pięściach wykonuje się na dwóch pierwszych knykciach, na całych nadgarstek układa się nienaturalnie, dodatkowo Panu Doktorowi biodra wiszą, no i kompensuje sobie barkami. Niech się nauczy wykonywać poprawnie",kastel0gandolfo,Mon Apr 07 12:39:52 +0000 2025
1909224267293642893,https://x.com/RTerela/status/1909224267293642893,"@KarolPopieramy @__d_o_b_i__ Tytuł doktora czego ma dowodzić?  Jeśli będzie doktorem w moich kierunkach to możemy porozmawiać, doktor nauk humanistycznych...historyk.",RTerela,Mon Apr 07 12:38:31 +0000 2025
1909223388310102361,https://x.com/SzatanIewiatan/status/1909223388310102361,@KarolPopieramy To jedyne co potrafisz🤪,SzatanIewiatan,Mon Apr 07 12:35:02 +0000 2025
1909218360811802991,https://x.com/KROLWODA1st/status/1909218360811802991,@KarolPopieramy Ja czegoś nie rozumiem xd,KROLWODA1st,Mon Apr 07 12:15:03 +0000 2025
1909215339100909904,https://x.com/o_bserver/status/1909215339100909904,@KarolPopieramy A teraz proszę jeszcze rzut oszczepem!,o_bserver,Mon Apr 07 12:03:03 +0000 2025
1909209221603717442,https://x.com/M_Ornowski/status/1909209221603717442,"@KarolPopieramy Tego nam trzeba: kolesia, który umie robić pompki 😂I to jest chyba jedyna rzecz, na której się zna.",M_Ornowski,Mon Apr 07 11:38:44 +0000 2025
1909209009007001787,https://x.com/M_Ornowski/status/1909209009007001787,"@KarolPopieramy @__d_o_b_i__ Taaa, żenada 😂 Człowieku, ty się nie potrafisz poprawnie wysłowić 😂",M_Ornowski,Mon Apr 07 11:37:53 +0000 2025
1909205435497804065,https://x.com/Bueaufighter/status/1909205435497804065,"@KarolPopieramy No tak, to jest to co nam potrzeba. Prezydent pompkarz",Bueaufighter,Mon Apr 07 11:23:41 +0000 2025
1909203586304614521,https://x.com/sonyszki/status/1909203586304614521,@KarolPopieramy @__d_o_b_i__ Memcen też ma doktora🤡🤡,sonyszki,Mon Apr 07 11:16:20 +0000 2025
