id,url,content,author,created_at
1918848584922923223,https://x.com/itabanita/status/1918848584922923223,"głosy zebrane na panią prof. Senyszyn (stan na 4 maja, godz. 4.00) chłop ✅ stary ✅ stara ✅ siora ❌ brachol ❌ jedna babcia ❌ druga babcia ❌  #Senyszyn2025",itabanita,Sun May 04 02:02:07 +0000 2025
1918812162551660840,https://x.com/golompow/status/1918812162551660840,Szanuję prezydenta Putina #zadenukrainiecniejestmoimbratem #senyszyn2025 #wyboryprezydenckie,golompow,Sat May 03 23:37:24 +0000 2025
1918710658536792338,https://x.com/heniek13296/status/1918710658536792338,Nie ma przypadków #senyszyn2025 https://t.co/H80yP3ts9O,heniek13296,Sat May 03 16:54:03 +0000 2025
1918633725492871303,https://x.com/PiotrDadas/status/1918633725492871303,Może wreszcie zrobicie dla odmiany coś pożytecznego? #wyboryprezydenckie #wybory2025 #Nawrocki2025 #Trzaskowski2025 #Mentzen2025 #Hołownia2025 #Biejat2025 #Braun2025 #Stanowski2025 #Zandberg2025 #senyszyn2025,PiotrDadas,Sat May 03 11:48:21 +0000 2025
1918221433446056134,https://x.com/junkiemsn/status/1918221433446056134,Śniła mi się wolna i niepodległa Polska... #Senyszyn2025,junkiemsn,Fri May 02 08:30:03 +0000 2025
1918031580909412836,https://x.com/LoliGrapist/status/1918031580909412836,@Eksterminatore Taaak. Cały naród za wodzem Senyszyn!!! #Senyszyn2025,LoliGrapist,Thu May 01 19:55:38 +0000 2025
1917994099258372512,https://x.com/Insigni42489865/status/1917994099258372512,"@anita_fogler Jest tylko jednak kandydatka, która raz na zawsze szarpnie za watykańskie sznurki! #Matka2025 #Senyszyn2025 🥰",Insigni42489865,Thu May 01 17:26:42 +0000 2025
1917634141337571782,https://x.com/udarx1/status/1917634141337571782,#NoweProfilowe #senyszyn2025 #Wybory2025 https://t.co/I7xDaWbInx,udarx1,Wed Apr 30 17:36:21 +0000 2025
1917553907087114509,https://x.com/Justyna86_/status/1917553907087114509,@Legionista83 #senyszyn2025 😍,Justyna86_,Wed Apr 30 12:17:32 +0000 2025
1917485498857095226,https://x.com/Majkel_Z/status/1917485498857095226,"Nieźle, nieźle, ale gdyby to było Judas Priest...😏 #senyszyn2025 https://t.co/GoVp70Yf2E",Majkel_Z,Wed Apr 30 07:45:42 +0000 2025
1917101099313475826,https://x.com/Sylwia1181/status/1917101099313475826,@wlodekczarzasty @MagdaBiejat #WyboryPrezydenckie2025 #senyszyn2025 #świeckiepaństwo https://t.co/srGpAaIKwM,Sylwia1181,Tue Apr 29 06:18:14 +0000 2025
1917100869591441802,https://x.com/Sylwia1181/status/1917100869591441802,@Bob_Gedron @barbaraanowacka @trzaskowski_ #WyboryPrezydenckie2025 #senyszyn2025 #ateistka #świeckiepaństwo https://t.co/DRpmBPvwRE,Sylwia1181,Tue Apr 29 06:17:19 +0000 2025
1917100348247838954,https://x.com/Sylwia1181/status/1917100348247838954,@K_Smiszek @MagdaBiejat #Wybory2025 #senyszyn2025 https://t.co/NirS0oW9wG,Sylwia1181,Tue Apr 29 06:15:15 +0000 2025
1916972472517492849,https://x.com/d_bania/status/1916972472517492849,#Senyszyn2025,d_bania,Mon Apr 28 21:47:07 +0000 2025
