id,url,content,author,created_at
1919350054369816633,https://x.com/szymon_xxxx/status/1919350054369816633,@K_Stanowski Młodzi wyborcy rosną  jak smoki hehehe,szymon_xxxx,Mon May 05 11:14:47 +0000 2025
1919344696448434498,https://x.com/JKuzniarski/status/1919344696448434498,"@K_Stanowski Mała ta rodzina, ale na 1% będzie",JKuzniarski,Mon May 05 10:53:29 +0000 2025
1919342501162279078,https://x.com/Bonzai180/status/1919342501162279078,"@bsiemkowicz @IiMandela @K_Stanowski Normalnie? Z YT, z reklam, z współprac, a że lubi współpracować z PiS, to jego sprawa, może z kim chce :)",Bonzai180,Mon May 05 10:44:46 +0000 2025
1919341801426538710,https://x.com/bsiemkowicz/status/1919341801426538710,@Piotr22167275 @K_Stanowski potrafią????,bsiemkowicz,Mon May 05 10:41:59 +0000 2025
1919341660384756143,https://x.com/bsiemkowicz/status/1919341660384756143,@IiMandela @K_Stanowski Ja chciałabym wiedzieć jak finansowany jest kanał Zero,bsiemkowicz,Mon May 05 10:41:26 +0000 2025
1919336874742591538,https://x.com/serbinek26/status/1919336874742591538,@K_Stanowski Cisza o wyłudzeniu Batyra ? tak po ludzku nie żal ci starszej oszukanej osoby przez tego alfonsa ?,serbinek26,Mon May 05 10:22:25 +0000 2025
1919335101990601014,https://x.com/depeszaZ/status/1919335101990601014,"@comoestaisamig8 @TulWinPrzem @K_Stanowski Wszyscy z wyjątkiem Trzaskowskiego i Hołowni, bo ci obaj, podpiszą  co im Tusk podsunie.  Głosowanie na plankton typu Stanowiski to sabotowanie wyborów.",depeszaZ,Mon May 05 10:15:22 +0000 2025
1919333930542534702,https://x.com/JoannaPietrasi1/status/1919333930542534702,@K_Stanowski Smoki są wszędzie: https://t.co/HrXaxlVYmj,JoannaPietrasi1,Mon May 05 10:10:43 +0000 2025
1919326983957127213,https://x.com/LDZ15139/status/1919326983957127213,@K_Stanowski Prawdziwe i co najważniejsze powszechne. Wygrasz to! https://t.co/WaLQRRlKu1,LDZ15139,Mon May 05 09:43:07 +0000 2025
1919325747447054717,https://x.com/FabrycyPolako/status/1919325747447054717,@mario_futbolfan @loverpat38990 @K_Stanowski ale reunion XDDDDDD,FabrycyPolako,Mon May 05 09:38:12 +0000 2025
1919322029599125504,https://x.com/StelJacek/status/1919322029599125504,"@K_Stanowski Krzysiek, pamietamy jak reklamowales szczepienia kowidowe mRNA, podobnie jak Pazura. Internet nie zapomina.",StelJacek,Mon May 05 09:23:25 +0000 2025
1919321205619798337,https://x.com/PolskiKomitet/status/1919321205619798337,@GriegVonSeduce @K_Stanowski Buc polski kojarzy się z Trzaskowskim.,PolskiKomitet,Mon May 05 09:20:09 +0000 2025
1919319895080083565,https://x.com/emilkwiatk93179/status/1919319895080083565,@K_Stanowski Milcz panie zero.,emilkwiatk93179,Mon May 05 09:14:56 +0000 2025
1919317714381713594,https://x.com/HusariaUT/status/1919317714381713594,@paweldeckas @K_Stanowski Zrobił to idealnie. A ty jak chcesz głosować na boaloruskie dziwki to wypierdalaj do kartoflane go prezydenta cwelu,HusariaUT,Mon May 05 09:06:16 +0000 2025
1919317335703203965,https://x.com/HusariaUT/status/1919317335703203965,@fanczolgow @K_Stanowski No ale rozjechał. Zryj gówno razem z tym swoim cwelem maciakiem i jego dziwką łukaszenką. Wypierdalaj śmieciu,HusariaUT,Mon May 05 09:04:46 +0000 2025
1919315233287422414,https://x.com/MarekSiewr58103/status/1919315233287422414,@K_Stanowski 👍😁😁😁👍👍👍,MarekSiewr58103,Mon May 05 08:56:25 +0000 2025
1919315120322166884,https://x.com/bogdan1952/status/1919315120322166884,@GriegVonSeduce @K_Stanowski Na jakie stanowisko liczysz?,bogdan1952,Mon May 05 08:55:58 +0000 2025
1919314361627070502,https://x.com/PiotrDrapala/status/1919314361627070502,@GriegVonSeduce @K_Stanowski Słychać wycie?,PiotrDrapala,Mon May 05 08:52:57 +0000 2025
1919312105116746182,https://x.com/AnnaZajczkowsk7/status/1919312105116746182,@K_Stanowski Nie podobało mi się jak Pan potraktował p. Maciaka. Mógł Pan przeprowadzić krótki wywiad i spróbować poznać punkt widzenia rozmówcy .  Proszę zauważyć że osoba która nie naskakuje na Putina i Rosję to od razu jest nazywana ruska onuca lub ruskim agentem.  To fałsz.,AnnaZajczkowsk7,Mon May 05 08:43:59 +0000 2025
1919304044285153657,https://x.com/dumny_prawak/status/1919304044285153657,@loverpat38990 @K_Stanowski Hahahahahha,dumny_prawak,Mon May 05 08:11:57 +0000 2025
1919303661852705215,https://x.com/AfterLife2024/status/1919303661852705215,@K_Stanowski No treściowa ma minę...,AfterLife2024,Mon May 05 08:10:26 +0000 2025
1919302985466716626,https://x.com/Ireneuszkraw/status/1919302985466716626,@trocheSieWylalo @K_Stanowski A czy wyznawcy Maciaka wchodzą na kanał Stanowskiego?,Ireneuszkraw,Mon May 05 08:07:45 +0000 2025
1919302202767585749,https://x.com/Ireneuszkraw/status/1919302202767585749,@loverpat38990 @K_Stanowski Za co?,Ireneuszkraw,Mon May 05 08:04:38 +0000 2025
1919297179224531341,https://x.com/Oskiiii42/status/1919297179224531341,"@K_Stanowski A co się z tym Pana ""nie głosujcie na mnie""?",Oskiiii42,Mon May 05 07:44:41 +0000 2025
1919296984088731858,https://x.com/obrzut_lukasz/status/1919296984088731858,@K_Stanowski Kuchnia w łazience? Oryginalnie 🤭,obrzut_lukasz,Mon May 05 07:43:54 +0000 2025
1919294081320059177,https://x.com/Grandzik8/status/1919294081320059177,@loverpat38990 @K_Stanowski Kogo? Ruską dziwkę 🤣🤣,Grandzik8,Mon May 05 07:32:22 +0000 2025
1919293920229437796,https://x.com/PudaSajo/status/1919293920229437796,"@K_Stanowski Odjebalo Ci równo. Mam nadzieje, że z wysoka spadniesz i głupi ryj rozwalisz.",PudaSajo,Mon May 05 07:31:43 +0000 2025
