id,url,content,author,created_at
1919353624016105806,https://x.com/Piotre_wert_efg/status/1919353624016105806,@trzaskowski_ Spierdalaj cioto.,Piotre_wert_efg,Mon May 05 11:28:58 +0000 2025
1919353534295773219,https://x.com/AndrzejKlimczy2/status/1919353534295773219,@yoanna_jgd @trzaskowski_ Przyszłość w GG z führerem Tuskiem.,AndrzejKlimczy2,Mon May 05 11:28:37 +0000 2025
1919344899024912701,https://x.com/Marek463056/status/1919344899024912701,"@trzaskowski_ Ty obiecasz, teraz wszystko   a po wyborach będziesz robił różne swinstawa Polsce i Polakom",Marek463056,Mon May 05 10:54:18 +0000 2025
1919344271506760035,https://x.com/AdsoonPL/status/1919344271506760035,@trzaskowski_ 18 Maja palisz Pan wroty i nie wracasz,AdsoonPL,Mon May 05 10:51:48 +0000 2025
1919343811982979134,https://x.com/CiszewskiW/status/1919343811982979134,@trzaskowski_ https://t.co/mTnpqeqamK,CiszewskiW,Mon May 05 10:49:59 +0000 2025
1919343143905812878,https://x.com/mimekcymek/status/1919343143905812878,@trzaskowski_ Wypad do Berlina Sorosowy pachołku. Wspólnoty chce nas uczyć tęczowy pajac. Jak tak można przecież planeta płonie.,mimekcymek,Mon May 05 10:47:19 +0000 2025
1919339966988956007,https://x.com/RJarek67/status/1919339966988956007,"@EmiliaJelec @trzaskowski_ Moja droga pani ,jak niedaj Boże jak wygra zobaczy pani gdzie jest miejsce Polaków w tej jego równiej Polsce  Będziemy obywatelami 3-kat . W metrze mogą się nawet pojawić na wagonikach napisy Not for Polish  Po tych kanaliach wszystkiego się można spodziewać",RJarek67,Mon May 05 10:34:42 +0000 2025
1919338922670170448,https://x.com/RJarek67/status/1919338922670170448,"@trzaskowski_ Wspólnota wg niejakiego Rafauła T ⚡️🏳️‍🌈🕎👺🤡👽👣🇺🇦🔱🧟‍♀️🔪🇦🇴🏳️‍🌈🇩🇿🏳️‍⚧️⬇️🇳🇫⚡️💄🦹🏿‍♂️🥷🏻🧌👯‍♂️👬🐽🪱🔪🇮🇱🌼🦹🏿‍♂️🕎⬇️🇺🇦🤮💊👎👇🏿👇🏿👇🏾👇🏽👇🏻🖕🧟‍♂️ Jak coś przegapił ,dodajcie  Taki zabiegany przed wyborami",RJarek67,Mon May 05 10:30:33 +0000 2025
1919333043119980868,https://x.com/marriu1/status/1919333043119980868,@MiroKa30045644 @trzaskowski_ Grok już gotowy na taką okoliczność https://t.co/b8kFu4HmPG,marriu1,Mon May 05 10:07:11 +0000 2025
1919327139863683446,https://x.com/Porondo44460578/status/1919327139863683446,"@trzaskowski_ Czy takiej ""wspólnoty ""? https://t.co/IoTqW4lu5L",Porondo44460578,Mon May 05 09:43:44 +0000 2025
1919325022918787146,https://x.com/PeterJasinski3/status/1919325022918787146,@trzaskowski_ Pierdol sie synu ubeckiej kurwy,PeterJasinski3,Mon May 05 09:35:19 +0000 2025
1919318442877878485,https://x.com/MarysiaNow96089/status/1919318442877878485,"@trzaskowski_ Zapomniał pan jak razem z PiS szczuliście na 500+ to ta solidarność, empatia i patriotyzm",MarysiaNow96089,Mon May 05 09:09:10 +0000 2025
1919317830178079178,https://x.com/Konrad649402/status/1919317830178079178,@trzaskowski_ Won @Trzaskowski2O25 https://t.co/zi8dtSDn0b,Konrad649402,Mon May 05 09:06:44 +0000 2025
1919313247972315494,https://x.com/_Vevixen_/status/1919313247972315494,@trzaskowski_ Z tobą oszuście nikt normalny nie będzie rozmawiał,_Vevixen_,Mon May 05 08:48:32 +0000 2025
