id,url,content,author,created_at
1919179527676207168,https://x.com/BBPolka2/status/1919179527676207168,"@KonradHryszkiew @AGozdyra Pan Jerzy przestał już być osobą samotną? Może też nagle ozdrowiał? Wystarczyło, że jego dobrodziej Nawrocki zgłosił się na kandydata PiS na prezydenta?  https://t.co/wFftypO7Ks  #GdzieJestPanJerzy #Wybory2025",BBPolka2,Sun May 04 23:57:10 +0000 2025
1919172678482546950,https://x.com/mily_xrayman/status/1919172678482546950,"@trzaskowski_ To pewnie przypadek, że tylko banery jednego kandydata są poniszczone. Widzę to w całej Polsce. „Katolicko-patriotyczne” tumany przypominają o sobie i dlaczego warto wybrać się na  #Wybory2025  Wygrana #Trzaskowski2025 będzie ostatnim rozdziałem historii  napisanej przez #Tusk",mily_xrayman,Sun May 04 23:29:57 +0000 2025
1919171022055407807,https://x.com/Rozaliaa03/status/1919171022055407807,"Partner Marianny Kurwy Schreiber i bliski przyjaciel konfederatów napisał taki komentarz, czy naprawdę chcecie by ci ludzie nami rządzili ??? #matura2025  #Wybory2025",Rozaliaa03,Sun May 04 23:23:22 +0000 2025
1919159243816440104,https://x.com/JakubDrobi96304/status/1919159243816440104,Przygotowałem szybki przegląd kandydatów z krótkimi opiniami. Może komuś pomoże ogarnąć ten wyborczy chaos https://t.co/iPMLNUYEYr  #Wybory2025   #Prezydent2025   #PolskaDecyduje #DebataPrezydencka #PolskaPolityka #WyboryPrezydenckie2025  #News #BREAKING  #Trending  #Polska,JakubDrobi96304,Sun May 04 22:36:34 +0000 2025
1919154849343516678,https://x.com/ViolaNewYork/status/1919154849343516678,#wieszwiecej  #WyboryPrezydenckie2025  #Wybory2025   https://t.co/BMUKVt3Lmi,ViolaNewYork,Sun May 04 22:19:06 +0000 2025
1919153881017123059,https://x.com/IwonaZywko/status/1919153881017123059,@szymon_holownia #Hołownia2025 #PodJednąFlagą #ToLudzieSąNajważniejsi #DrużynaNadziei #MójPrezydent #Wybory2025,IwonaZywko,Sun May 04 22:15:16 +0000 2025
1919151942527258787,https://x.com/S_Cwik/status/1919151942527258787,"Dobrze rozumiem co oni piszą? Nawrocki wykorzystał nieporadną osobę, dał jej kasę na wykup mieszkania a potem je przejął? Następny chciwy cwaniak chce być Prezydentem? Jakie tam są jeszcze ""trupy w szafie""? #Wybory2025  Ja wybieram uczciwego i pracującego dla innych #Hołownia2025 PS @NawrockiKn lubi te kontakty z osobami, które weszły w konflikt z prawem ... Jak @pisorgpl mogło kogoś takiego wystawić?",S_Cwik,Sun May 04 22:07:33 +0000 2025
1919148192001560924,https://x.com/koola_PL/status/1919148192001560924,"🔴MIESZKANIE PRAWEM, NIE TOWAREM!🔴  Nowogrodzki wziął sobie do serca hasło lewicy i działa.  #WyboryPrezydenckie2025 #Wybory2025",koola_PL,Sun May 04 21:52:39 +0000 2025
1919148107838689325,https://x.com/S_Cwik/status/1919148107838689325,"To Nawrocki tak się opiekuje człowiekiem, od którego ma mieszkanie, że od grudnia nie wiadomo co się z gościem dzieje? Coraz ciekawiej ... #Wybory2025",S_Cwik,Sun May 04 21:52:19 +0000 2025
1919147362934517835,https://x.com/GminaJajomyje/status/1919147362934517835,JEBAĆ WAS RUSKIE OUNCE @ZandbergRAZEM i @partiarazem  ON TOP TYMRAZEM KURWA Z 200% POPARCIEM #JAJOMYJESONDAŻUJE #WYBORY2025 #RAZEM #zandberg2025 https://t.co/cqUdw3qan7,GminaJajomyje,Sun May 04 21:49:22 +0000 2025
1919145426034348522,https://x.com/IwonaZywko/status/1919145426034348522,@szymon_holownia #Hołownia2025 #PodJednąFlagą #ToLudzieSąNajważniejsi #DrużynaNadziei #MójPrezydent #Wybory2025,IwonaZywko,Sun May 04 21:41:40 +0000 2025
