id,url,content,author,created_at
1919089642952892452,https://x.com/OSBCentrala/status/1919089642952892452,Podobno odnaleziono biuro pana Maciaka 😆 #WyboryPrezydenckie #Wybory2025 #Wybory https://t.co/EBRWETNsA3,OSBCentrala,Sun May 04 18:00:00 +0000 2025
1919087901469516016,https://x.com/Naturalnieblog/status/1919087901469516016,#grzegorzbraun #braun2025 #kobieta #polka #poland #katoliczka #wolnapolska #armiakrajowa #pokoleniejp2 #poland #kościółkatolicki #rodzina #bóg #wiara  #chrystus #maryja  #polskiprezydent #wyboryprezydenckie #iskra  #bóghonorojczyzna #pjj https://t.co/T0DojQ2gTW,Naturalnieblog,Sun May 04 17:53:05 +0000 2025
1919028685337681956,https://x.com/Akira12134/status/1919028685337681956,coraz lepsze wiadomości #Wybory #Wybory2025 #WyboryPrezydenckie #WyboryPrezydenckie2025 #Tusk,Akira12134,Sun May 04 13:57:47 +0000 2025
1919005097402454464,https://x.com/WojciechGaras/status/1919005097402454464,#wyboryprezydenckie  W XXw politycy nie posłuchali śp Jana Olszewskiego i wstąpili do Unii Europejskiej bez koniecznych warunków brzegowych ...  ... dlatego w XXIw 18 V 2025 musimy głosować na @GrzegorzBraun_ ponieważ tylko on może ten błąd naprawić zgodnie z Polską Racją Stanu.,WojciechGaras,Sun May 04 12:24:03 +0000 2025
1919003336839233617,https://x.com/wiolun/status/1919003336839233617,#Nawrocki #WyboryPrezydenckie2025 #wyboryprezydenckie #Wybory2025 #NieUważamNic #Nowogrodzki #KabanyDojnejZmiany,wiolun,Sun May 04 12:17:03 +0000 2025
1918972984728969542,https://x.com/Europejczyk_Pl/status/1918972984728969542,"Zawsze szanuj każdą Kobietę - nawet tą, z którą nie jest Ci po drodze💕 #Polska #Kobieta #Kobiety #WyboryPrezydenckie #WyboryPrezydencki2025 #Trzaskowski #TrzaskamyPierwsząTurę https://t.co/Ux3qsSufmD",Europejczyk_Pl,Sun May 04 10:16:27 +0000 2025
1918971806720893309,https://x.com/Naturalnieblog/status/1918971806720893309,#grzegorzbraun #braun2025 #kobieta #polka #poland #katoliczka #wolnapolska #armiakrajowa #pokoleniejp2 #poland #kościółkatolicki #rodzina #bóg #wiara  #chrystus #maryja  #polskiprezydent #wyboryprezydenckie #iskra  #bóghonorojczyzna #pjj https://t.co/5xZ014pyGJ,Naturalnieblog,Sun May 04 10:11:46 +0000 2025
1918958806546989155,https://x.com/SaulHudSlash23/status/1918958806546989155,"Dziś Międzynarodowy Dzień Strażaka, a więc Wszystkiego Najlepszego @GrzegorzBraun_ 🧯🗿🧯🗿🧯🇵🇱✝️🇵🇱✝️🇵🇱✝️  #GrzegorzBraun #Braun #Braun2025 #Gasnica #BraunPower #Wybory #Wybory2025 #Wyboryprezydenckie #Polska #Strazak #dziens https://t.co/f4QagWsXYw",SaulHudSlash23,Sun May 04 09:20:06 +0000 2025
1918956761622389178,https://x.com/BBPolka2/status/1918956761622389178,@marcinwarchol @AndrzejDuda @donaldtusk Duda potraktował święto Konstytucji 3 Maja tak samo jak Nawrocki polską flagę podczas debaty. #porzuconaflaga #debataprezydencka #debata #patriotyzm #wybory #wyboryprezydenckie #WygraCalaPolska #Prezydent2025 #Trzaskowski2O25  #TrzaskowskiPrezydentemPolski2025,BBPolka2,Sun May 04 09:11:59 +0000 2025
1918945738882449688,https://x.com/Europejczyk_Pl/status/1918945738882449688,"3. Nigdy w historii #WyboryPrezydenckie nikt nie został przyjęty przez Prezydenta USA: - bo żaden szanujący się ""kandydat na Prezydenta"", nie szuka wsparcia u głowy innego Państwa !",Europejczyk_Pl,Sun May 04 08:28:11 +0000 2025
1918918147282768018,https://x.com/RadioRebeliant/status/1918918147282768018,📢 OBEJRZYJ KONIECZNIE!!! ⏰ 20:00 🎥https://t.co/Q5Ujl5mS3Q Notariusz Bezprawia płk Mazguła Ostro o Dudzie i PiS Jak PiS niszczył Polskę? Obejrzyj i idź na wybory!  #RadioRebeliant #AdamMazguła #AndrzejDuda #PiS #WyboryPrezydenckie https://t.co/a8vbJVjbt5,RadioRebeliant,Sun May 04 06:38:32 +0000 2025
1918812162551660840,https://x.com/golompow/status/1918812162551660840,Szanuję prezydenta Putina #zadenukrainiecniejestmoimbratem #senyszyn2025 #wyboryprezydenckie,golompow,Sat May 03 23:37:24 +0000 2025
1918795352963997726,https://x.com/WojciechGaras/status/1918795352963997726,"@MarcinRola89 @A_Zapalowski @agnieszkawolsk9 @wrealu24_pl @GrzegorzBraun_ @KoronyPolskiej @MartaAnnaCzech @karolina_piku @Roman_Korona @coolfonpl @ChopAntoni1 #wyboryprezydenckie  To dowodzi, że liderzy  sondaży RT,KN,SM są przereklamowani =&gt; ma Pan szansę wejść do II tury (ciekawe z kim, pewnie z KN) lub wygrać w I turze.  Mówiących, że powyższe to bzdura, pytam: to dlaczego się tak bardzo boją, że tak @GrzegorzBraun_  przemilczają?",WojciechGaras,Sat May 03 22:30:36 +0000 2025
1918775372595794366,https://x.com/MaciejDbrowsk11/status/1918775372595794366,Gdzie jest oświadczenie majątkowe @NawrockiKn? Panie @szefernaker czy zobaczymy je kiedyś?   #WyboryPrezydenckie2025 #WyboryPrezydenckie,MaciejDbrowsk11,Sat May 03 21:11:12 +0000 2025
1918774005953163340,https://x.com/Akira12134/status/1918774005953163340,Uczciwy Wywiad z Maciejem Maciakiem! Godzina Rozmowy Bez Cenzury! https://t.co/LdtgoZTfHh przez @YouTube #Wybory #Wybory2025 #WyboryPrezydenckie #WyboryPrezydenckie2025,Akira12134,Sat May 03 21:05:46 +0000 2025
1918745417941934273,https://x.com/AleksanderWojak/status/1918745417941934273,"„A prawica cała w pąsach chce wybierać nam alfonsa” można przeczytać na jednym z transparentów, który trzymają zwolennicy Rafała Trzaskowskiego.  #Nawrocki #Chicago #USA #parada #KarolNawrocki #Wyboryprezydenckie #Nawrocki2025 #IPN #PiS",AleksanderWojak,Sat May 03 19:12:10 +0000 2025
1918745159031746721,https://x.com/Polityczneecho/status/1918745159031746721,🚨📋 Rozkład spotów Stanowskiego transmitowanych w TVP ‼️  ⬇️⬇️⬇️  #wyboryprezydenckie #stanowski https://t.co/K0Btvku0N8,Polityczneecho,Sat May 03 19:11:09 +0000 2025
1918739342065094762,https://x.com/Kamil_Kijak13/status/1918739342065094762,Braun 2025🧯🪜🇵🇱  #grzegorzbraun #braun2025 #braunpower #wybory #wyboryprezydenckie #wybory2025 #polityka #politykawsieci #politykapolska #politycy #polska🇵🇱 #polska #polski #look #patrz #patrznato #prawda #prawdaboli #granice #obrona #ludzie #policja #stopukrainizacji #stopbanderyzacjipolski #stopimigracji #stopimigrantom #dość #koniec,Kamil_Kijak13,Sat May 03 18:48:02 +0000 2025
1918730017376538795,https://x.com/Kamil_Kijak13/status/1918730017376538795,Braun 2025🧯🪜🇵🇱  #grzegorzbraun #braun2025 #braunpower #wybory #wyboryprezydenckie #wybory2025 #polityka #politykawsieci #politykapolska #politycy #polska🇵🇱 #polska #polski #look #patrz #patrznato #prawda #prawdaboli #granice #obrona #ludzie #policja #stopukrainizacji #stopbanderyzacjipolski #stopimigracji #stopimigrantom #dość #koniec,Kamil_Kijak13,Sat May 03 18:10:59 +0000 2025
1918724393368195493,https://x.com/Polityczneecho/status/1918724393368195493,"🚨📹  Goście ""Republiki Wieczór"" ‼️  Prowadzący programu Adrian Stanowski będzie rozmawiał z przedstawicielami - PIS, Konfederacja, TD, ZA. Start już o 20:40 na atenach Republiki.  📸 @RepublikaTV #wyboryprezydenckie #właczprawde https://t.co/Cou25bVmZE",Polityczneecho,Sat May 03 17:48:38 +0000 2025
1918720981096407453,https://x.com/MJK12394/status/1918720981096407453,18 maja Polacy wybiorą nowego Prezydenta RP! Na kogo oddasz swój głos?   #wybory #wyboryprezydenckie #Polska,MJK12394,Sat May 03 17:35:04 +0000 2025
1918716902232199352,https://x.com/wiolun/status/1918716902232199352,"Trump odciął amerykańskie dofinansowanie dla organizacji pozarządowych zagranicznych. Wiele fundacji w Polsce nie będzie mogła pomagać swoim podopiecznym.  Brawo @NawrockiKn, ludzie w potrzebie są dumni z Twoich autorytetów…  #wyboryprezydenckie",wiolun,Sat May 03 17:18:52 +0000 2025
1918716380242657540,https://x.com/Prof__Filutek/status/1918716380242657540,"Albo ci ludzie zarazili się chronicznym łgarstwem i mitomanią od @donaldtusk i @trzaskowski_, albo to skończeni naiwniacy i idioci! Innego wytłumaczenia nie ma dla wyborców #KoalicjaOszustów #Koalicja13grudnia 🤷‍♂️ #wybory2025 #wyboryprezydenckie #Trzaskowski2025",Prof__Filutek,Sat May 03 17:16:47 +0000 2025
1918716225040838808,https://x.com/Wroc_lawia/status/1918716225040838808,"bez psychologa ( jak bażur- bo stres, bo presja, bo pyt. bez kartki...) #Braun2025 #Braun #BraunPower  #wyboryprezydenckie  https://t.co/S5mvp9j44f",Wroc_lawia,Sat May 03 17:16:10 +0000 2025
1918714443904508239,https://x.com/Wexterek/status/1918714443904508239,To jest mój prawdziwy kandydat na prezydenta #Polska #wyboryprezydenckie #Mentzen2025 #Biejat2025 #Trzaskowski2025 #TrzaskamyPierwsząTurę #donaldtusk https://t.co/CfPxP48tS1,Wexterek,Sat May 03 17:09:06 +0000 2025
1918710287332491585,https://x.com/gemini_primee/status/1918710287332491585,"Pod flagą Narodowego Święta przyszła chwila, gdy usta polskich neoliberałów pełne są moralizatorsko-patriotycznych frazesów. Czegoż to się nie robi dla osadzenia swego namiestnika pod kryształowym żyrandolem 🙂 #wyboryprezydenckie #Konstytucja3Maja",gemini_primee,Sat May 03 16:52:35 +0000 2025
1918710164812693923,https://x.com/Wojtekwlkp/status/1918710164812693923,Donaldowe rządy ekspertów 🤦 @donaldtusk @trzaskowski_ #Trzaskowski2025 #wyboryprezydenckie https://t.co/zgr3ogfVZc,Wojtekwlkp,Sat May 03 16:52:05 +0000 2025
1918708041970524388,https://x.com/Wojtekwlkp/status/1918708041970524388,"Jeśli w #wyboryprezydenckie wybierzecie zielono-tęczowo-europejskiego Rafalala, który aktualnie jest pobożnym patriotą, lub mamtalenta to i u nas może być podobnie, a może i lepiej #wybory2025 #Trzaskowski2025 #Nawrocki2025 #Mentzen2025 https://t.co/WMX890Ub4N",Wojtekwlkp,Sat May 03 16:43:39 +0000 2025
1918707866115961267,https://x.com/loonely1980/status/1918707866115961267,#wyboryprezydenckie #Wybory2025 Czemu to nie jest para prezydencka? https://t.co/eUwLQRk0nW,loonely1980,Sat May 03 16:42:57 +0000 2025
1918690972667420829,https://x.com/Europejczyk_Pl/status/1918690972667420829,"Mam wrażenie, że cała #Prawica zachowuje się tak, jak jedna wielka ruina umysłowa, w dodatku zarażona kiłą ! #Polska #UE #Canada #WyboryPrezydenckie #WyboryPrezydenckie2025 #Trzaskowski #Trzaskowsk2025 #TrzaskamyPierwsząTurę #TrzaskowskiTeam https://t.co/WLPexS6UNR",Europejczyk_Pl,Sat May 03 15:35:50 +0000 2025
1918662951424204861,https://x.com/Europejczyk_Pl/status/1918662951424204861,"Jeszcze proponuję Premierowi @donaldtusk oraz min. @Adbodnar i państwu @e_wrzosek i @GiertychRoman aby sprawdzili, czy w DPS-ach w roku 2020 podczas #WyboryPrezydenckie nie doszło do oszustwa i złamania prawa ! #Duda #Kaczyński i #PiS muszą za wszystko odpowiedzieć ! @GMiziula",Europejczyk_Pl,Sat May 03 13:44:29 +0000 2025
1918661957856444669,https://x.com/Europejczyk_Pl/status/1918661957856444669,"I co #Prawica wraz z #Kaczyński i #PiS oraz #Konfederacja - tacy z was ""katolicy"", że nie ruszają was walnięte żarciki waszego pana i władcy zza oceanu w trakcie żałoby po ""Papieżu"" ? #Polska #WyboryPrezydenckie #WyboryPrezydenckie2025 #Trzaskowski #TrzaskamyPierwsząTurę",Europejczyk_Pl,Sat May 03 13:40:32 +0000 2025
1918653301932937683,https://x.com/Naturalnieblog/status/1918653301932937683,#grzegorzbraun #braun2025 #kobieta #polka #poland #katoliczka #wolnapolska #armiakrajowa #pokoleniejp2 #poland #kościółkatolicki #rodzina #bóg #wiara  #chrystus #maryja  #polskiprezydent #wyboryprezydenckie #iskra  #bóghonorojczyzna #pjj https://t.co/kNi3yXjZHa,Naturalnieblog,Sat May 03 13:06:08 +0000 2025
