id,url,content,author,created_at
1918976329929683203,https://x.com/ToMojaSprawa/status/1918976329929683203,"@ZandbergRAZEM Odejdź w pokoju. Każdy wie, że tańczysz z Kaczyńskim.",ToMojaSprawa,Sun May 04 10:29:44 +0000 2025
1918918652780224795,https://x.com/aonami_otp/status/1918918652780224795,@Izabela12671885 @ZandbergRAZEM nikt nie pytał,aonami_otp,Sun May 04 06:40:33 +0000 2025
1918742087425528241,https://x.com/MaryjuszKa/status/1918742087425528241,"@ZandbergRAZEM Zmiana na stanowisku prezydenta owszem. Ale nie na pana, panie Adrianie.",MaryjuszKa,Sat May 03 18:58:56 +0000 2025
1918729497488089565,https://x.com/LysyZPoznania/status/1918729497488089565,@ZandbergRAZEM Przecież tu nikt nie ma praw wyborczych xd https://t.co/i3p0zbxFx7,LysyZPoznania,Sat May 03 18:08:55 +0000 2025
1918705279429947544,https://x.com/mimi_nwm/status/1918705279429947544,@ZandbergRAZEM omgg wyborczynie Zandberga są takie śliczneee👉👈,mimi_nwm,Sat May 03 16:32:41 +0000 2025
1918699067225293135,https://x.com/MikulskiMa43709/status/1918699067225293135,@ZandbergRAZEM ja pierdole ile tam pokemonow,MikulskiMa43709,Sat May 03 16:07:59 +0000 2025
1918686284576419892,https://x.com/GadekRAZEM/status/1918686284576419892,@1_honorata @ZandbergRAZEM Jakich zmian?,GadekRAZEM,Sat May 03 15:17:12 +0000 2025
1918650430164226324,https://x.com/a_s_bratkowski/status/1918650430164226324,"@ZandbergRAZEM Zmiana na gorsze jest, niestety, zawsze możliwa.",a_s_bratkowski,Sat May 03 12:54:44 +0000 2025
1918624746960191942,https://x.com/BenQ94/status/1918624746960191942,"@ZandbergRAZEM Coraz bliżej swojego duńskiego matecznika, że tak się wyrażę",BenQ94,Sat May 03 11:12:40 +0000 2025
1918622516488089887,https://x.com/crypto949398/status/1918622516488089887,@ZandbergRAZEM Stop komunie,crypto949398,Sat May 03 11:03:48 +0000 2025
1918617100916039805,https://x.com/Shogun3maj/status/1918617100916039805,@ZandbergRAZEM O raz prawdę powiedział. Zmiana to my a nie ty.,Shogun3maj,Sat May 03 10:42:17 +0000 2025
1918614180887728637,https://x.com/Anyone1617/status/1918614180887728637,@ZandbergRAZEM A Manhattan?,Anyone1617,Sat May 03 10:30:41 +0000 2025
1918612645936030069,https://x.com/Izabela12671885/status/1918612645936030069,@ZandbergRAZEM Gdybyś jakimś cudem.. dostał się do drugiej tury wyborów..z Nawrockim..ja nie poszłabym głosować wogóle.,Izabela12671885,Sat May 03 10:24:35 +0000 2025
1918589284098945258,https://x.com/Piotr_ibin_Alab/status/1918589284098945258,"@ZandbergRAZEM Adrian, ile za tę niepotrzebna kampanię można by sfinansować mieszkań socjalnych? Marnujesz pieniądze które mogły by komuś pomóc.",Piotr_ibin_Alab,Sat May 03 08:51:45 +0000 2025
1918583298600669283,https://x.com/grandesie/status/1918583298600669283,@ZandbergRAZEM Panie Adrianie dlaczego spotkanie w Wolsztynie o 9:15? bardzo wiele zainteresowanych będzie wtedy w pracy...,grandesie,Sat May 03 08:27:58 +0000 2025
1918553565485769004,https://x.com/LizMePempekola/status/1918553565485769004,"@ZandbergRAZEM Chłopie, kto normalny by ci dał władze, jak ty paradujesz w koszulkach z komunistycznymi zbrodniarzami.",LizMePempekola,Sat May 03 06:29:49 +0000 2025
