id,url,label,tweet,author,created_at,source_file,hasztag/canidate,tweet_clean,tweet_no_stop,tweet_base_no_stop
1.92E+18,https://x.com/PiotrJurkowsk11/status/1919323245372739968,negatywny,@PolacySzwajca @K_Stanowski Nie mów nikomu co powinien,PiotrJurkowsk11,Mon May 05 09:28:15 +0000 2025,tweets__Stanowski_replies_1918955761368961146_20250505_132820.csv,tweets__Stanowski, nie mów nikomu co powinien,mów nikomu,mówić nikt
1.92E+18,https://x.com/baniaste/status/1916247082165293101,negatywny,@epwok2 Cześć! Jestem zwykłym człowiekiem Mam dobrą pamięć i dlatego nie chcę żyć w zamordyźmie i kłamstwie jakie szykuje nam pseudo koalicja. Wybory to będzie plebiscyt za wolnością i przeciw ciemnocie. Nie zmarnujmy szansy  #Nawrocki2025 czy tam #Mentzen2025,baniaste,Sat Apr 26 21:44:41 +0000 2025,tweets__Mentzen2025_20250505_121753.csv,tweets__Mentzen2025, cześć! jestem zwykłym człowiekiem mam dobrą pamięć i dlatego nie chcę żyć w zamordyźmie i kłamstwie jakie szykuje nam pseudo koalicja. wybory to będzie plebiscyt za wolnością i przeciw ciemnocie. nie zmarnujmy szansy nawrocki2025 czy tam mentzen2025,cześć! zwykłym człowiekiem dobrą pamięć chcę żyć zamordyźmie kłamstwie szykuje pseudo koalicja. wybory plebiscyt wolnością przeciw ciemnocie. zmarnujmy szansy nawrocki2025 mentzen2025,cześć! zwykły człowiek dobry pamięć chcieć żyć zamordyźm kłamstwo szykować pseudo koalicja. wybory plebiscyt wolność przeciw ciemnota. zmarnuć szansa nawrocki2025 mentzen2025
1.92E+18,https://x.com/marabir777/status/1919103063672959208,pozytywny,@Trzaskowski2O25 @trzaskowski_ Dlatego trzeba głosować na #Mentzen2025,marabir777,Sun May 04 18:53:20 +0000 2025,tweets__Mentzen2025_20250505_111555.csv,tweets__Mentzen2025, dlatego trzeba głosować na mentzen2025,głosować mentzen2025,głosować mentzen2025
1.92E+18,https://x.com/Betag2Ma/status/1919110280635707418,pozytywny,@kstomaszczyk1 @ElzbietaSa27948 @AnnaRomejk42561 @marzenakosciol1 @StarkiLiila @joabartnik @Majka_Niemaja @Wtotugram Dziękuję za zaproszenie 🌷  WyTRZASKajmy jedną turę 🇵🇱❤️🤍  @meg_of_wickham  @Urszula861438  @eve_and_brr  @Ewa04059325  @Alicja1263  @atadax_1  @AnnaRomejk42561  #Trzaskowski2025  #WygraCałaPolska https://t.co/3ccTHHyFeM,Betag2Ma,Sun May 04 19:22:00 +0000 2025,tweets__Trzaskowski2025_20250505_122839.csv,tweets__Trzaskowski2025, dziękuję za zaproszenie   wytrzaskajmy jedną turę     trzaskowski2025 wygracałapolska ,dziękuję zaproszenie wytrzaskajmy jedną turę trzaskowski2025 wygracałapolska,dziękować zaproszenie wytrzaskać jeden tura trzaskowski2025 wygracałapolska
1.92E+18,https://x.com/NiebrzydkiZenon/status/1918726680350179464,pozytywny,@szefernaker Brawo Panowie sztabowcy :) #Nawrocki2025,NiebrzydkiZenon,Sat May 03 17:57:43 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025, brawo panowie sztabowcy :) nawrocki2025,brawo panowie sztabowcy :) nawrocki2025,brawo pan sztabowiec:) nawrocki2025
1.92E+18,https://x.com/hen_zing/status/1918907101859951066,negatywny,@aviuz123 @GrzegorzBraun_ W pierwszym zdaniu .. dalej niosąc nienawiść,hen_zing,Sun May 04 05:54:39 +0000 2025,tweets__Braun_replies_1918394614819557745_20250505_125409.csv,tweets__Braun, w pierwszym zdaniu . dalej niosąc nienawiść,pierwszym zdaniu . dalej niosąc nienawiść,pierwszy zdanie. daleko nieść nienawiść
1.91E+18,https://x.com/Lewica_News/status/1912036363966259252,pozytywny,"[#Biejat2025] @MagdaBiejat: Dla mnie najważniejsze jest zobowiązanie wobec wyborców. - Jeśli trzeba rozmawiać z prezydentem Dudą, po to, żeby zastopować obniżenie składki zdrowotnej, to jestem gotowa to zrobić.  Ja tam nie poszłam dlatego, że lubię prezydenta Dudę - wręcz przeciwnie - nie jest moim marzeniem spotykać się z panem prezydentem.  - Natomiast poszłam tam dlatego, że odkąd ustawa o obniżeniu składki zdrowotnej przeszła przez Sejm, nie ma dnia, żeby nie zwracali się do m nie przedstawiciele lekarzy, pacjentów, pielęgniarek i ekonomiści, którzy rwą włosy z głowy, że po raz kolejny ofiarą kampanii wyborczej pada tak ważny element naszego życia, jak ochrona zdrowia.  Bo ta ustawa jest de facto podminowaniem tego systemu.  #NajważniejszePytania|@PSzubartowicz|@PiotrWitwicki: https://t.co/d1wlVKKeZy",Lewica_News,Tue Apr 15 06:52:47 +0000 2025,tweets__Biejat2025_20250505_122318.csv,tweets__Biejat2025,"[ biejat2025] : dla mnie najważniejsze jest zobowiązanie wobec wyborców. - jeśli trzeba rozmawiać z prezydentem dudą, po to, żeby zastopować obniżenie składki zdrowotnej, to jestem gotowa to zrobić. ja tam nie poszłam dlatego, że lubię prezydenta dudę - wręcz przeciwnie - nie jest moim marzeniem spotykać się z panem prezydentem. - natomiast poszłam tam dlatego, że odkąd ustawa o obniżeniu składki zdrowotnej przeszła przez sejm, nie ma dnia, żeby nie zwracali się do m nie przedstawiciele lekarzy, pacjentów, pielęgniarek i ekonomiści, którzy rwą włosy z głowy, że po raz kolejny ofiarą kampani wyborczej pada tak ważny element naszego życia, jak ochrona zdrowia. bo ta ustawa jest de facto podminowaniem tego systemu. najważniejszepytania| | : ","[ biejat2025] : najważniejsze zobowiązanie wobec wyborców. - rozmawiać prezydentem dudą, to, zastopować obniżenie składki zdrowotnej, gotowa zrobić. poszłam dlatego, lubię prezydenta dudę - wręcz przeciwnie - marzeniem spotykać panem prezydentem. - poszłam dlatego, odkąd ustawa obniżeniu składki zdrowotnej przeszła sejm, dnia, zwracali m przedstawiciele lekarzy, pacjentów, pielęgniarek ekonomiści, rwą włosy głowy, kolejny ofiarą kampani wyborczej pada ważny element życia, ochrona zdrowia. ustawa de facto podminowaniem systemu. najważniejszepytania| | :","[ biejat2025 ]: ważny zobowiązanie wobec wyborca. - rozmawiać prezydent dudą, to, zastopować obniżyć składka zdrowotny, gotowy zrobić. poszłam dlatego, lubić prezydent duda - wręcz przeciwnie - marzenie spotykać pan prezydent. - poszć być dlatego, odkąd ustawa obniżyć składka zdrowotny przejść sejm, dzień, zwracać metr przedstawiciel lekarz, pacjent, pielęgniarka ekonomista, rwąć włos głowa, kolejny ofiara kampana wyborczy padać ważny element życie, ochrona zdrowie. ustawa de facto podminować system. najważniejszepytania| |:"
1.92E+18,https://x.com/j_rasz/status/1918678562627789064,neutralny,Grill grillem ale baner sam się nie zawiesi 😀🇵🇱🇵🇱🇵🇱 #Nawrocki2025 https://t.co/qRg6ji8eVT,j_rasz,Sat May 03 14:46:31 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025,gril grilem ale baner sam się nie zawiesi      nawrocki2025 ,gril grilem baner zawiesi nawrocki2025,gril gril baner zawiesić nawrocki2025
1.92E+18,https://x.com/JuiceLover109/status/1918599046815502408,neutralny,@bolfranciszka miałem głosować na #zandberg2025 ale w obecnej sytuacji zagłosuje na #Mentzen2025,JuiceLover109,Sat May 03 09:30:33 +0000 2025,tweets__Mentzen2025_20250505_111555.csv,tweets__Mentzen2025, miałem głosować na zandberg2025 ale w obecnej sytuacji zagłosuje na mentzen2025,miałem głosować zandberg2025 obecnej sytuacji zagłosuje mentzen2025,mieć być głosować zandberg2025 obecny sytuacja zagłosować mentzen2025
1.92E+18,https://x.com/KostrubiecZuza1/status/1919061243177943309,pozytywny,╔════༺❀༻🇵🇱༺❀༻🇵🇱════╗  🇵🇱🇵🇱🇵🇱NAWROCKI 2025🇵🇱🇵🇱🇵🇱  ╚════༺❀༻🇵🇱༺❀༻🇵🇱════╝  Z miłości do Polski Niech żyje Polska.  18 Maja głosujemy na Karola Nawrockiego!  Po Pierwsze Polska Po Pierwsze Polacy   #Nawrocki2025  Zwyciężymy!👍👍🇵🇱🇵🇱.  #SympatycyPanaNawrockiego https://t.co/OwOuUuyuAJ,KostrubiecZuza1,Sun May 04 16:07:09 +0000 2025,tweets__Nawrocki2025_20250505_111024.csv,tweets__Nawrocki2025,╔═༺❀༻ ༺❀༻ ═╗    nawrocki 2025    ╚═༺❀༻ ༺❀༻ ═╝ z miłości do polski niech żyje polska. 18 maja głosujemy na karola nawrockiego! po pierwsze polska po pierwsze polacy nawrocki2025 zwyciężymy!   . sympatycypananawrockiego ,╔═༺❀༻ ༺❀༻ ═╗ nawrocki 2025 ╚═༺❀༻ ༺❀༻ ═╝ miłości polski żyje polska. 18 maja głosujemy karola nawrockiego! pierwsze polska pierwsze polacy nawrocki2025 zwyciężymy! . sympatycypananawrockiego,╔ ═ ༺ ❀ ༻ ༺ ❀ ༻ ═ ╗ nawrocki 2025 ╚ ═ ༺ ❀ ༻ ༺ ❀ ༻ ═ ╝ miłość Polska żyć polski. 18 maj głosować karol nawrockiego! pierwszy Polska pierwszy Polak nawrocki2025 zwyciężyć!. sympatycypananawrockiy
